row_id,decision,technical_action,implementation_status,native_fm_id,detail
FM27-0942977303c64196f93fbdf0,ESCALATE_TECHNICAL,CREATE_OR_BRIDGE_IDENTITY,RESOLVED_IDENTITY_BRIDGE_NO_STATE_CHANGE,104501,Alexis Kalogeropoulos
FM27-09cbab854bc1276777511684,ESCALATE_TECHNICAL,SET_CURRENT_LOAN,TECHNICAL_BLOCKER,262625,"Native owner contract ends 2026-06-30, before resolved loan end 2027-06-30; no replacement contract date supplied."
FM27-0a1d47e0b35d9927eee3a601,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-0a219292990e2dc2dfecf5d7,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,263376,MOVE_PRESERVE_METADATA
FM27-0a9032083dfc18532fede5aa,ESCALATE_TECHNICAL,SET_CURRENT_LOAN_PRESERVE_TYPED_CONDITION,STAGED_TECHNICAL,294619,PRESERVE_PROTECTED_SQUAD
FM27-0c35ff20f9204aa12843b02a,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-0ca773156b68400301c6b3c7,ESCALATE_TECHNICAL,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,TECHNICAL_BLOCKER,294089,Local confirmed timeline says loan end 2028-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-0cb01390ed086e6db81d0004,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,272086,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-0d26ca7cc05486014d555c53,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,200488,MOVE_PRESERVE_METADATA
FM27-0d343b5ff4590c8e4b503b5e,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,36543,MOVE_PRESERVE_METADATA
FM27-0d4ee56383e851028668f34a,ESCALATE_TECHNICAL,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,TECHNICAL_BLOCKER,283989,Local confirmed timeline says loan end 2030-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-0d812459199e2be04d063e12,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,11926,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-0d85fd2bbc6d4171356270c0,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-0d9bc696a175800bf35d47c9,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-0da804f78c39e2bdc05b9599,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,276630,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-0dd69e5f90d68ed63e26741c,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,104502,MOVE_PRESERVE_METADATA
FM27-0e12009b3ff7a7f5f8df330b,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,201012,MOVE_PRESERVE_METADATA
FM27-0e2d3f9bdc2ae414ec365884,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,203211,MOVE_PRESERVE_METADATA
FM27-0e88dbc64fc45f78a53e12eb,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,61806,MOVE_PRESERVE_METADATA
FM27-0efeabbade07f74e15aa4e3c,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-0ff11df5aa0bf34bad10c590,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,277446,MOVE_PRESERVE_METADATA
FM27-0ff43d0f2df394fce9e4d1d2,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-10ab3f86b3c6b5d5f69c9a33,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,276644,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-10fff72cddc1b0752ecd5abc,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,285382,MOVE_PRESERVE_METADATA
FM27-114d5c4b67282886ff11b937,ESCALATE_TECHNICAL,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,TECHNICAL_BLOCKER,264991,Local confirmed timeline says loan end 2030-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-1181a8f6e1a1ee463e371478,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,276088,MOVE_PRESERVE_METADATA
FM27-118240670359ec789b6eb16a,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,227312,MOVE_PRESERVE_METADATA
FM27-11b3c686a382f6c1cd8ecf0d,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-122e54be8300b17d762ba73e,ESCALATE_TECHNICAL,CREATE_OR_BRIDGE_IDENTITY,TECHNICAL_BLOCKER,,No safe local identity and no complete supplied native creation fields.
FM27-125a27020cb89a47028a639a,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,136134,MOVE_PRESERVE_METADATA
FM27-12b343061a60e8953bd841c4,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-1348f18d8f7857a99e7169a6,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,237880,MOVE_PRESERVE_METADATA
FM27-13c22a9a23619ba9be6775e8,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,11362,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-1423b22dcdce21b63b6b6947,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,236225,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-146a1d5069e3b379a5f8fc39,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,279872,MOVE_PRESERVE_METADATA
FM27-14849f555e5cda2d8a81a1db,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,277739,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-14e09af3cda877be92c8bdab,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-14fffbfe3613997d7d03846c,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,200114,MOVE_PRESERVE_METADATA
FM27-168354ebdd9bb58a7f14161d,ESCALATE_TECHNICAL,APPLY_CONFIRMED_TIMELINE_WITH_GUARD_REPAIR,TECHNICAL_BLOCKER,222649,Local confirmed timeline says loan end 2031-06-30 after owner contract 2027-06-30; exact loan end cannot be synthesized safely.
FM27-16c53f335257a792fd968fe8,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,272328,MOVE_PRESERVE_METADATA
FM27-176ff6bbe7351e059e7d9d60,ESCALATE_TECHNICAL,CREATE_OR_BRIDGE_IDENTITY,RESOLVED_IDENTITY_BRIDGE_NO_STATE_CHANGE,199935,Abbosbek Fayzullayev
FM27-1784f6005f4c04ccf26931f0,ESCALATE_TECHNICAL,CLEAR_STALE_LOAN_KEEP_TARGET,STAGED_TECHNICAL,292895,RESOLVE_EXPIRED_LOAN
FM27-17e7cdbfc49f7b2bd55ebb79,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,12227,RESOLVE_EXPIRED_LOAN
FM27-18574f71c4a51bb9e9bfe5a2,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-1858687d4d8990e93b1d35d6,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,11201,MOVE_PRESERVE_METADATA
FM27-1958c155a2831c18d6f63eb4,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,223057,MOVE_PRESERVE_METADATA
FM27-19e5e35e78c2470764431436,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-1a9613daa64c3ac29e532604,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-1b6607c64d7ec348edd65aee,ESCALATE_TECHNICAL,SET_CURRENT_LOAN,TECHNICAL_BLOCKER,262642,"Native owner contract ends 2026-06-30, before resolved loan end 2027-06-30; no replacement contract date supplied."
FM27-1be870ca3940877c5a41ae76,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,271020,MOVE_PRESERVE_METADATA
FM27-1bffe61103e5622fa08dba39,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,100532,MOVE_PRESERVE_METADATA
FM27-1c1eb8a639fe13555a32b4c0,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,287391,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-1d32fac2763c27d7881631e0,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,100247,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-1d3a63bc701d86b36c1f1431,ESCALATE_TECHNICAL,SET_CURRENT_LOAN,TECHNICAL_BLOCKER,284131,"Native owner contract ends 2026-06-30, before resolved loan end 2027-06-30; no replacement contract date supplied."
FM27-1dd0c9a3be7a52be63242b02,ESCALATE_TECHNICAL,CREATE_OR_BRIDGE_IDENTITY,STAGED_CREATE,1000024889,Sosseh
FM27-1e005007bc4531ffe912af65,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-1f3bfe3bfff60e88de0ceef8,ESCALATE_TECHNICAL,CLEAR_STALE_LOAN_KEEP_TARGET,STAGED_TECHNICAL,268481,RESOLVE_EXPIRED_LOAN
FM27-1fa6fd12211dbfe804a26ee9,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-1fc90b10dfc0ea1c149acdd1,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-2017caa6c2c4cd8716cc8cc8,ESCALATE_TECHNICAL,SET_CURRENT_LOAN,TECHNICAL_BLOCKER,107257,"Native owner contract ends 2026-06-30, before resolved loan end 2027-06-30; no replacement contract date supplied."
FM27-20506b3332fe8f53f0d234a1,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,11344,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-209239680e754b6f6c1839a5,NONBLOCKING,,RESOLVED_NO_CHANGE,284254,RESOLVED
FM27-20b95d68ed193087d5af0eda,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,295811,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-2102680d865113aa47e5572a,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,271547,MOVE_PRESERVE_METADATA
FM27-21c18ae230c0214b4c25531e,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,276321,MOVE_PRESERVE_METADATA
FM27-22101142207f0ae432fd30e5,ESCALATE_TECHNICAL,CLEAR_STALE_LOAN_KEEP_TARGET,STAGED_TECHNICAL,288094,RESOLVE_EXPIRED_LOAN
FM27-22b31b25eb192cccf84b5b7c,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,295272,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-22d485b1533283af8550a8da,ESCALATE_TECHNICAL,CREATE_OR_BRIDGE_IDENTITY,RESOLVED_IDENTITY_BRIDGE_NO_STATE_CHANGE,286426,Giorgos Vagiannidis
FM27-22d9d9b74881ddab6abc76c1,ESCALATE_TECHNICAL,CREATE_OR_BRIDGE_IDENTITY,RESOLVED_IDENTITY_BRIDGE_NO_STATE_CHANGE,270378,Yung-Woo Seol
FM27-22fcaf565cb1ed008c9ac10e,NONBLOCKING,,RESOLVED_NO_CHANGE,291077,RESOLVED
FM27-230d12a9726f671e769dc69a,ESCALATE_TECHNICAL,CREATE_OR_BRIDGE_IDENTITY,RESOLVED_IDENTITY_BRIDGE_NO_STATE_CHANGE,287688,Leonardo Realpe
FM27-233dde0169e7a4598e245fae,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,188090,MOVE_PRESERVE_METADATA
FM27-2404b9f9083726ee1bedabe6,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,277531,MOVE_PRESERVE_METADATA
FM27-241531f900caf204310a7388,ESCALATE_TECHNICAL,SET_CURRENT_LOAN,TECHNICAL_BLOCKER,280198,"Native owner contract ends 2026-06-30, before resolved loan end 2027-06-30; no replacement contract date supplied."
FM27-247f46959400ad35c9d3d839,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,272269,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-24fadf3ac0edfe6b2e2c54fc,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,276608,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-24ff43732e2ac7b01e3fb6cd,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,280215,MOVE_PRESERVE_METADATA
FM27-252ef9bef22b54c66a8fd031,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,280216,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-260226f100ea862dc4e7733e,ESCALATE_TECHNICAL,CREATE_OR_BRIDGE_IDENTITY,TECHNICAL_BLOCKER,,No safe local identity and no complete supplied native creation fields.
FM27-2673632bd08eb1bb702c4740,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-269da445a56389bdf780cb9e,NONBLOCKING,,RESOLVED_NO_CHANGE,235945,RESOLVED
FM27-274b038674a9bff7f2cf7f4d,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,221509,MOVE_PRESERVE_METADATA
FM27-274d0856a90b207bf483ca0b,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,23579,MOVE_PRESERVE_METADATA
FM27-2755f791761e60b650ee480c,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,136516,MOVE_PRESERVE_METADATA
FM27-2791ce24abd367071604400c,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,15944,MOVE_PRESERVE_METADATA
FM27-27a833a447d188ca6480f619,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,280929,MOVE_PRESERVE_METADATA
FM27-2831b6368615279511ce43b2,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-28c555252043c399f4fdfde0,NONBLOCKING,,RESOLVED_NO_CHANGE,287308,RESOLVED
FM27-28fc69f149e5b2c8be31fe24,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,297594,MOVE_PRESERVE_METADATA
FM27-291d9cefd53be1e90e00ff77,ESCALATE_TECHNICAL,SET_CURRENT_LOAN,STAGED_TECHNICAL,221428,SQUAD
FM27-299553186c842024b6ef31f4,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,12466,MOVE_PRESERVE_METADATA
FM27-2a31e323a09cfd52b60b865d,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,273111,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-2a82898c4d27d2fb0c15ba15,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,55395,MOVE_PRESERVE_METADATA
FM27-2a99d0c304979060df8c862a,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,276419,RESOLVE_EXPIRED_LOAN
FM27-2af1837f603d147af35768bd,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,272214,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-2b116aa19db68661d44d5565,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,280248,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-2b2631356af24c7f6bc4fcbc,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,236874,MOVE_PRESERVE_METADATA
FM27-2b2aa0fdb8b58d279057cdee,ESCALATE_TECHNICAL,CREATE_OR_BRIDGE_IDENTITY,STAGED_IDENTITY_BRIDGE,193692,RESOLVE_EXPIRED_LOAN
FM27-2b66d1949da03e823807810d,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-2b882875df94fc88c215c6de,NONBLOCKING,,RESOLVED_NO_CHANGE,235262,RESOLVED
FM27-2be02aa5f525af031b43a8b3,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,295264,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-2c1212242282dbe3094dd73b,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-2c6e317a9f19c990b1569faa,ESCALATE_TECHNICAL,CLEAR_STALE_LOAN_KEEP_TARGET,STAGED_TECHNICAL,223200,RESOLVE_EXPIRED_LOAN
FM27-2cce968d3900569dc08617d4,NONBLOCKING,,RESOLVED_NO_CHANGE,287227,RESOLVED
FM27-2d8e90de1d7ac283657b763c,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,276621,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-2e11abe931f904384c02141e,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,268107,MOVE_PRESERVE_METADATA
FM27-2ec3ed0665fe9d464e674273,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,222045,MOVE_PRESERVE_METADATA
FM27-2edff63b05b060a60c10ec1a,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,105233,MOVE_PRESERVE_METADATA
FM27-2f7d8e47f05dcf4b5957f648,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,201186,MOVE_PRESERVE_METADATA
FM27-2ffb99d8ee8d0a372f579c12,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-301a53b40c097e134adc0bcd,NONBLOCKING,,RESOLVED_NO_CHANGE,11895,RESOLVED
FM27-306b37e9af41226c2c53ded3,ESCALATE_TECHNICAL,CLEAR_STALE_LOAN_KEEP_TARGET,STAGED_TECHNICAL,199892,RESOLVE_EXPIRED_LOAN
FM27-309d5e2b641e844b30aa8192,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,107259,MOVE_PRESERVE_METADATA
FM27-309ebfd030fb1abef9d7f201,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,235558,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-30bdd637efd2baaf56d29c17,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,295593,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-30eede71297f53576e84dd41,ESCALATE_TECHNICAL,CREATE_OR_BRIDGE_IDENTITY,STAGED_IDENTITY_BRIDGE,202958,MOVE_PRESERVE_METADATA
FM27-31236c38e3cbd02d05229c92,ESCALATE_TECHNICAL,SET_CURRENT_LOAN,STAGED_TECHNICAL,213189,SQUAD
FM27-317b12f864f0fa8dcfedb5eb,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,136521,MOVE_PRESERVE_METADATA
FM27-3294c3e989ac22d6d34873fb,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-33de8de338a6d897f25d24b7,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,11561,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-341225613caf72cb9d862070,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-34d915b922ee223ee16aed7d,NONBLOCKING,,RESOLVED_NO_CHANGE,279681,RESOLVED
FM27-3525eaec176afd9d0d8c1a01,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-3663b2a6f736d78bc5051465,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,280810,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-36688177e6b9c8a1074ae3c1,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,266703,MOVE_PRESERVE_METADATA
FM27-367ad086476125558cfb9091,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,177717,RESOLVE_EXPIRED_LOAN
FM27-368a9fc1c791742490596b81,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,221828,MOVE_PRESERVE_METADATA
FM27-3692a8aec4bb3ca8f8a0a082,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-370e6cd3d7def658e427c9d9,ESCALATE_TECHNICAL,SET_CURRENT_LOAN,STAGED_TECHNICAL,286280,SQUAD
