league,club,club_id,roster_source_status,arrivals_status,departures_status,loans_in_status,loans_out_status,missing_players_status,contracts_status,shirt_numbers_status,creation_status,confirmed_players,proposed_creations,unresolved_creations,rating_deferred_creations,sprint_eligible_creations,ready_creations,confirmed_arrivals,confirmed_departures,confirmed_loans_in,confirmed_loans_out,confirmed_loans,blocking_holds,ambiguous_records,unmatched_records,overall_status
ENG1,FC Fulham,917521,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,26,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD_ENOUGH
ENG1,FC Liverpool,917509,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,27,0,0,0,0,0,2,0,0,0,0,0,0,0,GOOD_ENOUGH
ENG1,Hull City,917532,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PROPOSED_READY,31,1,0,0,1,1,4,0,0,0,0,1,0,0,PARTIAL
ENG1,Ipswich Town,917538,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,28,0,0,0,0,0,1,0,0,0,0,0,0,0,GOOD_ENOUGH
ENG1,Leeds United,917545,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,23,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD_ENOUGH
ENG1,Manchester City,917518,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,24,0,0,0,0,0,0,1,0,0,0,0,0,0,GOOD_ENOUGH
ENG1,Manchester United,917519,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,30,0,0,0,0,0,1,0,0,0,0,0,0,0,GOOD_ENOUGH
ENG1,Newcastle United,917523,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,25,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD_ENOUGH
ENG1,Nottingham Forest,917549,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,24,0,0,0,0,0,0,1,0,0,0,0,0,0,GOOD_ENOUGH
ENG1,Tottenham Hotspur,917514,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,27,0,0,0,0,0,2,0,1,0,1,0,0,0,GOOD_ENOUGH
ITA1,AC Florenz,1769492,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,24,0,0,0,0,0,2,2,1,0,1,0,0,0,GOOD_ENOUGH
ITA1,AC Mailand,1769474,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,28,0,0,0,0,0,4,0,0,0,0,0,0,0,GOOD_ENOUGH
ITA1,AC Monza,1769533,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,GOOD_ENOUGH,GOOD_ENOUGH,NONE,30,0,0,0,0,0,3,0,2,0,2,1,0,1,PARTIAL
ITA1,AS Rom,1769476,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,25,0,0,0,0,0,0,1,0,0,0,0,0,0,GOOD_ENOUGH
ITA1,Atalanta Bergamo,1769477,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,24,0,0,0,0,0,1,1,0,0,0,0,0,0,GOOD_ENOUGH
ITA1,Cagliari Calcio,1769480,COMPLETE,PARTIAL,GOOD_ENOUGH,PARTIAL,PARTIAL,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PROPOSED_READY,28,1,0,0,1,1,1,0,0,0,0,2,0,0,PARTIAL
ITA1,Como 1907,1769516,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,27,0,0,0,0,0,1,1,0,1,1,0,0,0,GOOD_ENOUGH
ITA1,FC Bologna,1769478,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,27,0,0,0,0,0,1,0,1,0,1,0,0,0,GOOD_ENOUGH
ITA1,FC Turin,1769499,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,29,0,0,0,0,0,2,2,0,0,0,0,0,0,GOOD_ENOUGH
ITA1,Frosinone Calcio,1769528,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,30,0,0,0,0,0,2,1,1,0,1,0,0,0,GOOD_ENOUGH
ITA1,Genua CFC,1769510,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,31,0,0,0,0,0,3,1,1,0,1,0,0,0,GOOD_ENOUGH
ITA1,Inter Mailand,1769481,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,24,0,0,0,0,0,0,2,0,1,1,0,0,0,GOOD_ENOUGH
ITA1,Juventus Turin,1769482,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,29,0,0,0,0,0,2,0,0,0,0,0,0,0,GOOD_ENOUGH
ITA1,Lazio Rom,1769487,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,34,0,0,0,0,0,3,0,0,0,0,0,0,0,GOOD_ENOUGH
ITA1,Parma Calcio 1913,1769475,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,28,0,0,0,0,0,1,0,1,0,1,0,0,0,GOOD_ENOUGH
ITA1,SSC Neapel,1769517,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,27,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD_ENOUGH
ITA1,US Lecce,1769483,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,33,0,0,0,0,0,6,0,0,0,0,0,0,0,GOOD_ENOUGH
ITA1,US Sassuolo,1769542,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,34,0,0,0,0,0,3,0,1,0,1,0,0,0,GOOD_ENOUGH
ITA1,Udinese Calcio,1769488,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,27,0,0,0,0,0,4,0,0,0,0,0,0,0,GOOD_ENOUGH
ITA1,Venezia FC,1769500,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,35,0,0,0,0,0,5,1,0,1,1,0,0,0,GOOD_ENOUGH
ESP1,Athletic Bilbao,2949121,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,26,0,0,0,0,0,1,0,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,Atlético Madrid,2949122,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,25,0,0,0,0,0,0,1,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,CA Osasuna,2949132,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,23,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,Celta Vigo,2949159,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,25,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,Deportivo A Coruña,2949127,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PROPOSED_READY,28,1,0,0,1,1,2,0,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,Deportivo Alavés,2949141,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,22,0,0,0,0,0,1,0,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,Espanyol Barcelona,2949125,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,25,0,0,0,0,0,2,0,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,FC Barcelona,2949124,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,27,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,FC Elche,2949148,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,28,0,0,0,0,0,2,0,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,FC Getafe,2949126,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,23,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,FC Málaga,2949129,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,28,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,FC Sevilla,2949138,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,25,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,FC Valencia,2949139,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,27,0,0,0,0,0,1,0,1,0,1,0,0,0,GOOD_ENOUGH
ESP1,FC Villarreal,2949140,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,24,0,0,0,0,0,0,2,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,Racing Santander,2949137,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,23,0,0,0,0,0,3,0,1,0,1,1,0,0,PARTIAL
ESP1,Rayo Vallecano,2949171,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,27,0,0,0,0,0,1,0,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,Real Betis Sevilla,2949133,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,25,0,0,0,0,0,1,1,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,Real Madrid,2949134,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,27,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,Real Sociedad San Sebastián,2949135,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,24,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD_ENOUGH
ESP1,UD Levante,2949128,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,PARTIAL,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,21,0,0,0,0,0,1,0,0,0,0,2,0,0,PARTIAL
GER1,1.FC Köln,1376275,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,29,0,0,0,0,0,1,3,0,0,0,0,0,0,GOOD_ENOUGH
GER1,1.FC Union Berlin,1376348,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,30,0,0,0,0,0,5,1,0,0,0,0,0,0,GOOD_ENOUGH
GER1,1.FSV Mainz 05,1376259,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,25,0,0,0,0,0,5,1,0,0,0,0,0,0,GOOD_ENOUGH
GER1,Bayer 04 Leverkusen,1376261,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,PROPOSED_READY,27,1,0,0,1,1,1,3,0,3,3,0,0,0,GOOD_ENOUGH
GER1,Borussia Dortmund,1376262,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,29,0,0,0,0,0,0,4,0,1,1,0,0,0,GOOD_ENOUGH
GER1,Borussia Mönchengladbach,1376263,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,29,0,0,0,0,0,1,4,0,0,0,0,0,0,GOOD_ENOUGH
GER1,Eintracht Frankfurt,1376279,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,26,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD_ENOUGH
GER1,FC Augsburg,1376431,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,26,0,0,0,0,0,2,0,1,0,1,0,0,0,GOOD_ENOUGH
GER1,FC Bayern München,1376264,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PROPOSED_READY,23,1,0,0,1,1,0,0,0,1,1,0,0,0,GOOD_ENOUGH
GER1,FC Schalke 04,1376266,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,27,0,0,0,0,0,3,1,0,0,0,0,0,0,GOOD_ENOUGH
GER1,Hamburger SV,1376267,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,27,0,0,0,0,0,1,5,0,0,0,0,0,0,GOOD_ENOUGH
GER1,RB Leipzig,1376555,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,29,0,0,0,0,0,1,0,0,0,0,0,0,0,GOOD_ENOUGH
GER1,SC Freiburg,1376270,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,27,0,0,0,0,0,3,1,0,0,0,0,0,0,GOOD_ENOUGH
GER1,SC Paderborn 07,1376421,COMPLETE,PARTIAL,GOOD_ENOUGH,PARTIAL,PARTIAL,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,31,0,0,0,0,0,4,0,0,0,0,1,0,0,PARTIAL
GER1,SV 07 Elversberg,1376432,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,27,0,0,0,0,0,3,2,1,0,1,0,0,0,GOOD_ENOUGH
GER1,SV Werder Bremen,1376271,COMPLETE,PARTIAL,GOOD_ENOUGH,PARTIAL,PARTIAL,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,30,0,0,0,0,0,3,3,1,1,2,1,0,0,PARTIAL
GER1,TSG 1899 Hoffenheim,1376433,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,27,0,0,0,0,0,5,3,0,1,1,0,0,0,GOOD_ENOUGH
GER1,VfB Stuttgart,1376272,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,30,0,0,0,0,0,2,3,0,0,0,0,0,0,GOOD_ENOUGH
FRA1,AJ Auxerre,1179654,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,31,0,0,0,0,0,3,2,1,1,2,0,0,0,GOOD_ENOUGH
FRA1,AS Monaco,1179655,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,26,0,0,0,0,0,0,1,0,0,0,0,0,0,GOOD_ENOUGH
FRA1,Angers SCO,1179782,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,22,0,0,0,0,0,0,2,0,0,0,0,0,0,GOOD_ENOUGH
FRA1,ESTAC Troyes,1179683,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PROPOSED_READY,28,1,0,0,1,1,1,1,0,0,0,0,0,0,GOOD_ENOUGH
FRA1,FC Le Mans,1179682,COMPLETE,PARTIAL,GOOD_ENOUGH,PARTIAL,PARTIAL,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,28,0,0,0,0,0,2,1,0,0,0,1,0,0,PARTIAL
FRA1,FC Lorient,1179673,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,23,0,0,0,0,0,1,0,0,0,0,1,0,0,PARTIAL
FRA1,FC Stade Rennes,1179656,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,24,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD_ENOUGH
FRA1,FC Toulouse,1179657,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,24,0,0,0,0,0,0,2,0,0,0,0,0,0,GOOD_ENOUGH
FRA1,LOSC Lille,1179665,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,27,0,0,0,0,0,0,2,0,1,1,0,0,0,GOOD_ENOUGH
FRA1,Le Havre AC,1179681,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,25,0,0,0,0,0,2,0,0,0,0,0,0,0,GOOD_ENOUGH
FRA1,OGC Nizza,1179666,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,28,0,0,0,0,0,1,0,0,0,0,0,0,0,GOOD_ENOUGH
FRA1,Olympique Lyon,1179661,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,NONE,29,0,0,0,0,0,1,1,0,0,0,0,0,0,GOOD_ENOUGH
FRA1,Olympique Marseille,1179662,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,22,0,0,0,0,0,1,1,0,0,0,0,0,0,GOOD_ENOUGH
