queue,blocking,reason,league,club,club_tm_id,player,player_tm_id,dob,fm_id,fifa_id,native_club_id,target_club_id,identity_method,source,source_sha256,snapshot_date,classification
,NO,,BEL1,Cercle Brügge,520,Luke Le Roux,467616,2000-03-10,259041,255703,917520,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,NATIVE_DELTA
,NO,,BEL1,Cercle Brügge,520,Royer Caicedo,1274489,2006-05-05,231190,76933,3670018,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,NATIVE_DELTA
,NO,,BEL1,Cercle Brügge,520,Sebbe Gheerardyns,1137815,2005-01-11,236129,0,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,NATIVE_DELTA
,NO,,BEL1,Cercle Brügge,520,Steve Ngoura,923838,2005-02-22,236110,271256,458755,458755,VERIFIED_PRIOR_TM_BRIDGE,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Cercle Brügge,520,Tayo Adaramola,724529,2003-11-14,24555,267476,917578,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,NATIVE_DELTA
,NO,,BEL1,Cercle Brügge,520,Tiemen De Bel,1178478,2006-10-31,236120,0,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,NATIVE_DELTA
,NO,,BEL1,Cercle Brügge,520,Tunde Akinsola,924447,2003-03-10,288081,275487,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Cercle Brügge,520,Valy Konaté,1120020,2006-11-14,236119,79837,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,NATIVE_DELTA
,NO,,BEL1,Cercle Brügge,520,Viggo Martens,1451916,2007-01-04,236136,0,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Cercle Brügge,520,Yago Lincoln,1095336,2003-01-30,224467,0,3543078,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,NATIVE_DELTA
,NO,,BEL1,Cercle Brügge,520,Yann Lienard,745341,2003-03-16,284498,271661,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,NATIVE_DELTA
,NO,,BEL1,Club Brügge,2282,Andrej Vasovic,1129950,2007-10-14,193919,75573,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Argus Vanden Driessche,1122795,2007-04-22,235086,0,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Axl De Corte,1073654,2006-03-24,235085,278995,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Brandon Mechele,236168,1993-01-28,235054,212204,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Carlos Forbs,742451,2004-03-19,235057,277426,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Cheveyo Tsawa,794749,2006-12-09,194014,71151,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Freddie Potts,698164,2003-09-12,263502,264579,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Félix Lemaréchal,659518,2003-08-07,289596,264869,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,INHERITED_NATIVE08_COVERED
,NO,,BEL1,Club Brügge,2282,Han-beom Lee,706963,2002-06-17,285967,261062,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Hans Vanaken,137576,1992-08-24,235049,200155,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Hugo Siquet,578680,2002-07-09,235060,259586,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Hugo Vetlesen,499758,2000-02-29,235052,238235,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Jan Virgili,1301775,2006-07-26,282420,80915,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Joaquin Seys,981196,2005-03-28,235055,71305,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Joel Ordóñez,893661,2004-04-21,235063,268611,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Jorne Spileers,743381,2005-01-21,235074,271917,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Kyriani Sabbe,743122,2005-01-26,235065,275050,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Lynnt Audoor,623095,2003-10-13,235076,268618,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Mamadou Diakhon,1054839,2005-09-22,235068,276256,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Matteo Dams,654918,2004-03-09,76985,74411,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Nicolò Tresoldi,717329,2004-08-20,235058,266895,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Nordin Jackers,250543,1997-09-05,235062,222263,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Romeo Vermant,708454,2004-01-24,235064,275051,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Samba Coulibaly,1322006,2008-04-04,283508,0,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Tian Nai Koren,1191293,2009-07-31,235077,0,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Wisdom Mike,1084539,2008-09-24,276835,77126,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Club Brügge,2282,Yann Sommer,42205,1988-12-17,278079,177683,458756,458756,DOB_NAME,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Abdelkahar Kadri,592400,2000-06-24,235433,264201,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Abdoul Ayinde,1160184,2005-07-17,235462,0,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,NATIVE_DELTA
,NO,,BEL1,KAA Gent,157,Abubakar Abdullahi,1133955,2006-01-27,235472,0,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Aimé Omgba,568373,2002-10-22,235437,72611,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Bas Evers,1231353,2008-12-02,235453,0,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Christian Burgess,244221,1991-10-07,234978,210044,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Davy Roef,140808,1994-02-06,235428,204549,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,El Hadji Seck,1365842,2007-01-14,235458,0,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Gilles De Meyer,1005835,2006-09-17,235460,75615,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Hyllarion Goore,1285174,2005-08-24,235464,77045,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Ibrahima Cissé,1473866,2007-09-24,,,,458753,ZERO_DUPLICATE_CREATE_PLAN,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,NATIVE_CREATE_CANDIDATE
,NO,,BEL1,KAA Gent,157,Josué Vergara,1291709,2007-07-25,298263,0,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Kjell Peersman,654919,2004-05-21,235443,270351,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Kyrell Wilson,906428,2004-12-01,288951,272617,2752526,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,NATIVE_DELTA
,NO,,BEL1,KAA Gent,157,Lars Cooman,1064973,2003-05-15,237282,0,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Leonardo Lopes,348756,1998-11-30,235436,226431,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,László Bénes,243188,1997-09-09,200230,234728,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Maksim Paskotsi,488298,2003-01-19,235444,264189,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Mamadou Diallo,1133729,2007-02-21,235459,0,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Mathias Delorge,723487,2004-07-31,235435,266681,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Matisse Samoise,705991,2001-11-21,235434,259043,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Matties Volckaert,781812,2002-10-12,235455,0,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Max Dean,805889,2004-02-21,235448,261325,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Michel-Ange Balikwisha,502239,2001-05-10,289213,257208,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,NATIVE_DELTA
,NO,,BEL1,KAA Gent,157,Mohammed El Âdfaoui,1105542,2008-02-28,235449,80126,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Momodou Sonko,929876,2005-01-31,235445,271953,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
,NO,,BEL1,KAA Gent,157,Mouhamed Ngom,922792,2000-05-12,128455,0,458753,458753,VERIFIED_PRIOR_TM_BRIDGE,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,INHERITED_NATIVE08_COVERED
,NO,,BEL1,KAA Gent,157,Pieter Gerkens,183383,1995-02-17,236105,216334,458753,458753,DOB_NAME,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12,CURRENT_COVERED
