league,player,player_tm_id,fm_id,fifa_id,dob,old_native_club_id,new_native_club_id,current_club,current_club_tm_id,known_join,public_contract_end,old_native_contract_end,event_id,event_date,event_old_club_tm_id,event_new_club_tm_id,roster_profile_agree,identity_method,source_confidence,primary_source,primary_source_sha256,roster_source,roster_source_sha256,profile_source,profile_source_sha256,event_source,event_source_sha256,snapshot_date,status,policy_reason
CZE1,Aboubacar Traore,1071300,11262,0,2004-08-20,790540,786446,FC Banik Ostrau,377,2026-07-23,,2026-06-30,6450219,,13726,377,YES,DOB_NAME,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/fc-banik-ostrau/kader/verein/377/saison_id/2026/plus/1,3717000ca143110b9cff7bc66843b5e54104cdaa75d0e196220c4e77c8b4d611,https://www.transfermarkt.de/aboubacar-traore/profil/spieler/1071300,4fc7939bf4ee8fdbdfb0b4e47de9267f0ba211213626482efb8035906fc6fee2,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
CZE1,Tomas Wiesner,334807,1000013460,246183,1997-07-17,0,790530,FC Hradec Kralove,1897,2026-07-01,,2025-06-30,6375518,,95336,1897,YES,FIFA_ID,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/fc-hradec-kralove/kader/verein/1897/saison_id/2026/plus/1,9f165382686e89ef721bef5137a1368d6a21993eeb3b6a2f26d9e63870638938,https://www.transfermarkt.de/tomas-wiesner/profil/spieler/334807,51cab74e2c2b4bf7bb4e215a7e02e74bdf0f4f0c657617a194a880d69726cc9a,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
CZE1,Eric Hunal,839554,11479,0,2005-01-21,790532,786447,FC Zbrojovka Brünn,5225,2026-07-02,,2026-06-30,6376393,,62,5225,YES,DOB_NAME,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/fc-zbrojovka-brunn/kader/verein/5225/saison_id/2026/plus/1,1aeecf841a85ad9d35469b9ba37af49f38aee1b2e160fdd7ebc2df04f3863d83,https://www.transfermarkt.de/eric-hunal/profil/spieler/839554,e564cb9ae8ac3a17b4ff068d5fe4fb1154f173ef6152d8fbe89982d7fd9d986a,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
CZE1,Jakub Pokorny,333494,105171,0,1996-09-11,1455254,786447,FC Zbrojovka Brünn,5225,2026-08-26,,2026-06-30,6355962,,30120,5225,YES,DOB_NAME,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/fc-zbrojovka-brunn/kader/verein/5225/saison_id/2026/plus/1,1aeecf841a85ad9d35469b9ba37af49f38aee1b2e160fdd7ebc2df04f3863d83,https://www.transfermarkt.de/jakub-pokorny/profil/spieler/333494,7ca58ef657c9d735f284c85b7c6cbe806ab7c77dab0197aa479d79087555b4f1,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
CZE1,Lucky Ezeh,1005946,11258,0,2004-01-23,790540,786447,FC Zbrojovka Brünn,5225,2026-07-01,,2026-06-30,6355516,,13726,5225,YES,DOB_NAME,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/fc-zbrojovka-brunn/kader/verein/5225/saison_id/2026/plus/1,1aeecf841a85ad9d35469b9ba37af49f38aee1b2e160fdd7ebc2df04f3863d83,https://www.transfermarkt.de/lucky-ezeh/profil/spieler/1005946,d5723470d1d752d3f76158bbafa8700bfc457bcfdcb5930a4715bd0604d0dbdd,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
CZE1,Petr Sevcik,147555,295792,247030,1994-05-04,786441,786447,FC Zbrojovka Brünn,5225,2026-07-01,,2026-06-30,6339513,,62,5225,YES,FIFA_ID,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/fc-zbrojovka-brunn/kader/verein/5225/saison_id/2026/plus/1,1aeecf841a85ad9d35469b9ba37af49f38aee1b2e160fdd7ebc2df04f3863d83,https://www.transfermarkt.de/petr-sevcik/profil/spieler/147555,2cce1ba0e31e9de7d0c67395441dc2263b01eee4ba4a94cf22b9bdf00358b18d,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
CZE1,Roman Horak,740558,295998,0,2005-02-25,786442,786437,FK Jablonec,1322,2026-07-01,,2026-06-30,6367305,,6483,1322,YES,DOB_NAME,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/fk-jablonec/kader/verein/1322/saison_id/2026/plus/1,fa6bc207fa67c20e0cd9ca574d81e19d3d8b6b77840b71993b1620a5a4b28b21,https://www.transfermarkt.de/roman-horak/profil/spieler/740558,231d7cb4bb877ec8340c6859ea48d89a04e1455f51b89b248334623f2dad638a,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
CZE1,Vojtech Vorel,221289,295989,240283,1996-06-18,786442,786434,FK Mlada Boleslav,5546,2026-07-11,,2026-06-30,6419281,,197,5546,YES,FIFA_ID,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/fk-mlada-boleslav/kader/verein/5546/saison_id/2026/plus/1,5a8600e42926651e56482ac4dac8c6e5e0e3e1754eacf142566e811f0e9bca53,https://www.transfermarkt.de/vojtech-vorel/profil/spieler/221289,175d0e397d50b98c77f7e390605d1af0f02120d18d77f2bfed81d7c688806c0c,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
CZE1,Sebastian Pech,1078665,296017,0,2009-01-05,786442,786443,FK Teplice,814,2026-09-04,,2026-06-30,6566433,,6483,814,YES,DOB_NAME,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/fk-teplice/kader/verein/814/saison_id/2026/plus/1,d56a4f10e63ee591f34d8043653f8dec1ff43e812697defcdc04274a50cee948,https://www.transfermarkt.de/sebastian-pech/profil/spieler/1078665,61223ea716e705017a226d3c4a4c474959fad223a9ef0ca680ba8db574209332,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
CZE1,Adam Petrak,709285,11949,0,1999-08-20,786454,790564,SK Artis Brünn,24325,2026-07-01,,2026-06-30,6368393,,892,24325,YES,DOB_NAME,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/sk-artis-brunn/kader/verein/24325/saison_id/2026/plus/1,587a867b1b6398028de49094330bc2934f1e7245d3ee79f2003e9ffe6410ac9f,https://www.transfermarkt.de/adam-petrak/profil/spieler/709285,8235082fca802c2cb1fbe4893de4267dad511f7e0aba483da7822419f4281009,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
CZE1,David Simek,493763,11562,0,1998-02-15,790538,790564,SK Artis Brünn,24325,2026-07-01,,2026-06-30,6370852,,1496,24325,YES,DOB_NAME,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/sk-artis-brunn/kader/verein/24325/saison_id/2026/plus/1,587a867b1b6398028de49094330bc2934f1e7245d3ee79f2003e9ffe6410ac9f,https://www.transfermarkt.de/david-simek/profil/spieler/493763,65fe0b35ce899f71695ddb9a36104a6b6a4f94d64e9162c15b8fe81feaff8830,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
CZE1,Anton Ekeroth,819392,142923,74175,2001-09-16,2359300,786439,SK Sigma Olmütz,2311,2026-08-06,,2026-06-30,6489730,,4309,2311,YES,FIFA_ID,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/sk-sigma-olmutz/kader/verein/2311/saison_id/2026/plus/1,c61d1f22a4e21ac99834db236d5c613fdf98db28632452029778a0c82954b875,https://www.transfermarkt.de/anton-ekeroth/profil/spieler/819392,4620e43579f7077d1264a7ad3d6e5e2b50eba96212d5a457ece08d86fb006475,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
ENG1,Takehiro Tomiyasu,331560,1000013185,232938,1998-11-05,0,917535,Crystal Palace,873,2026-08-07,,2025-06-30,6489474,,610,873,YES,FIFA_ID,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/crystal-palace/kader/verein/873/saison_id/2026/plus/1,5b0d8110693231bc9cfcbf4e744171ea18f83dc20ff4c35e294cf84c098ae7ac,https://www.transfermarkt.de/takehiro-tomiyasu/profil/spieler/331560,044aa6174ce8b7836240ac28cbfe1f99c3b43ab2602a2f1812f0f97c71b4bbdd,https://www.transfermarkt.de/eredivisie/transfers/wettbewerb/NL1/saison_id/2026,11dc5cade25e44ad6fb6a4fa951faaf3fb97825e83aa2704c9ddc2f99499f336,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
FRA1,Vincent Sasso,122115,272442,188538,1991-02-16,1179721,1179681,Le Havre AC,738,2026-07-13,,2026-06-30,6425403,,9202,738,YES,FIFA_ID,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/le-havre-ac/kader/verein/738/saison_id/2026/plus/1,c689367405332b2d53df382c7e86172b8f1c4f1721cf694d45fd4f70cea2659b,https://www.transfermarkt.de/vincent-sasso/profil/spieler/122115,4c74394b590307fae109aacd443f3250e5e70a1534f70bdacd9fddc307bd2a20,https://www.transfermarkt.de/ligue-1/transfers/wettbewerb/FR1/saison_id/2026,d0bdedb0ffa3ae6d9bd09c12fb5a85d4118138f6388ab0440cf2ba38e857b62b,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
GER1,Marvin Friedrich,196231,279837,222493,1995-12-13,1376263,1376348,1. FC Union Berlin,89,2026-07-01,,2026-06-30,6347016,,18,89,YES,FIFA_ID,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/1-fc-union-berlin/kader/verein/89/saison_id/2026/plus/1,09ae9c47f64c54ef97da615c30d6aa9ae9d953e1a3e18c00b87ea902f5a73e34,https://www.transfermarkt.de/marvin-friedrich/profil/spieler/196231,0b39319f00c9cc50bce5bcfb8bc2527644a4adae6a23a3326cccb18aa6660073,https://www.transfermarkt.de/bundesliga/transfers/wettbewerb/L1/saison_id/2026,c08e4b3a81f4ba445c4d8343c0dd6f9cfb1b5e5f12689978c0e5485f5030360a,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
GER1,Zeno Van Den Bosch,738774,235338,260931,2003-07-06,458785,1376348,1. FC Union Berlin,89,2026-07-01,,2026-06-30,6358361,,1096,89,YES,FIFA_ID,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/1-fc-union-berlin/kader/verein/89/saison_id/2026/plus/1,09ae9c47f64c54ef97da615c30d6aa9ae9d953e1a3e18c00b87ea902f5a73e34,https://www.transfermarkt.de/zeno-van-den-bosch/profil/spieler/738774,3a8d3990d7d6c88ec4459410862329e76d762d5acef1f252b8285aa14fee2718,https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026,b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
GER1,Eric Martel,597000,277510,256942,2002-04-29,1376275,1376259,1. FSV Mainz 05,39,2026-07-01,,2026-06-30,6318180,,3,39,YES,FIFA_ID,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/1-fsv-mainz-05/kader/verein/39/saison_id/2026/plus/1,a0ac0e0c9eb47a3776e4e43c8257aa032114b35240aadb843dc1c757a5313de7,https://www.transfermarkt.de/eric-martel/profil/spieler/597000,6be2ede93a2373b8d96070bf4f1cbf1fed001a4f18941e64f711d6b90b778a05,https://www.transfermarkt.de/bundesliga/transfers/wettbewerb/L1/saison_id/2026,c08e4b3a81f4ba445c4d8343c0dd6f9cfb1b5e5f12689978c0e5485f5030360a,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
GER1,Ransford Königsdörffer,470038,275631,255036,2001-09-13,1376267,1376259,1. FSV Mainz 05,39,2026-07-01,,2026-06-30,6319100,,41,39,YES,FIFA_ID,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/1-fsv-mainz-05/kader/verein/39/saison_id/2026/plus/1,a0ac0e0c9eb47a3776e4e43c8257aa032114b35240aadb843dc1c757a5313de7,https://www.transfermarkt.de/ransford-konigsdorffer/profil/spieler/470038,4f5453c98afc3b600bbe07104211676b01e3493f014e687f56531215d8465d9c,https://www.transfermarkt.de/bundesliga/transfers/wettbewerb/L1/saison_id/2026,c08e4b3a81f4ba445c4d8343c0dd6f9cfb1b5e5f12689978c0e5485f5030360a,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
GER1,Albert Millgramm,814986,276353,0,2004-11-12,1376373,1376421,SC Paderborn 07,127,2026-07-01,,2026-06-30,6241843,,6649,127,YES,DOB_NAME,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/sc-paderborn-07/kader/verein/127/saison_id/2026/plus/1,2bc1c2dc6af19cdfe4c15f929f45c9c1b3aeb6d1349fe49c0cbceca9a06d7cde,https://www.transfermarkt.de/albert-millgramm/profil/spieler/814986,19f4228ffdd0d76c3bb609d324b93fb1efcc942c461a498820c0ce31eeac9b6f,https://www.transfermarkt.de/bundesliga/transfers/wettbewerb/L1/saison_id/2026,c08e4b3a81f4ba445c4d8343c0dd6f9cfb1b5e5f12689978c0e5485f5030360a,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
