league,club,club_tm_id,player,player_tm_id,dob,position,shirt_number,joined,contract_until,change_notes,profile_url,source_status,database_action,source,source_sha256,snapshot_date
ENG1,Aston Villa,405,Lamare Bogarde,645686,2004-01-05,Defensives Mittelfeld,26,2024-07-01,2028-06-30,[],https://www.transfermarkt.de/lamare-bogarde/profil/spieler/645686,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,João Gomes,735570,2001-02-12,Zentrales Mittelfeld,35,2026-07-20,2031-06-30,"[""Neuzugang von: Wolverhampton Wanderers; Datum: 20.07.2026; Ablöse: 40,00 Mio. €""]",https://www.transfermarkt.de/joao-gomes/profil/spieler/735570,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,John McGinn,193116,1994-10-18,Zentrales Mittelfeld,7,2018-08-08,2028-06-30,[],https://www.transfermarkt.de/john-mcginn/profil/spieler/193116,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Leon Goretzka,153084,1995-02-06,Zentrales Mittelfeld,27,2026-08-27,2028-06-30,"[""Neuzugang von: FC Bayern München; Datum: 27.08.2026; Ablöse: ablösefrei""]",https://www.transfermarkt.de/leon-goretzka/profil/spieler/153084,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Ross Barkley,131978,1993-12-05,Zentrales Mittelfeld,6,2024-07-01,2027-06-30,[],https://www.transfermarkt.de/ross-barkley/profil/spieler/131978,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Johan Manzambi,927353,2005-10-14,Offensives Mittelfeld,44,2026-07-17,,"[""Neuzugang von: SC Freiburg; Datum: 17.07.2026; Ablöse: 60,00 Mio. €""]",https://www.transfermarkt.de/johan-manzambi/profil/spieler/927353,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Emiliano Buendía,321247,1996-12-25,Offensives Mittelfeld,10,2021-07-01,2027-06-30,[],https://www.transfermarkt.de/emiliano-buendia/profil/spieler/321247,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Alejandro Garnacho,811779,2004-07-01,Linksaußen,17,2026-07-23,2027-06-30,[],https://www.transfermarkt.de/alejandro-garnacho/profil/spieler/811779,CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,George Hemmings,1023191,2007-04-03,Linksaußen,53,2026-07-01,,"[""Interner Wechsel: Aston Villa U21; Datum: 01.07.2026""]",https://www.transfermarkt.de/george-hemmings/profil/spieler/1023191,CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Ibrahim Mbaye,1185888,2008-01-24,Rechtsaußen,19,2026-09-01,,"[""Neuzugang von: Paris Saint-Germain; Datum: 01.09.2026; Ablöse: 55,00 Mio. €""]",https://www.transfermarkt.de/ibrahim-mbaye/profil/spieler/1185888,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Alysson,1005583,2006-05-05,Rechtsaußen,47,2026-01-01,2031-06-30,[],https://www.transfermarkt.de/alysson/profil/spieler/1005583,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Nicolas Jackson,776890,2001-06-20,Mittelstürmer,11,2026-08-28,2031-06-30,"[""Neuzugang von: FC Chelsea; Datum: 28.08.2026; Ablöse: 55,50 Mio. €""]",https://www.transfermarkt.de/nicolas-jackson/profil/spieler/776890,CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Tammy Abraham,331726,1997-10-02,Mittelstürmer,18,2026-01-27,2030-06-30,[],https://www.transfermarkt.de/tammy-abraham/profil/spieler/331726,CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Brian Madjo,1226357,2009-01-12,Mittelstürmer,39,2026-01-12,2032-06-30,[],https://www.transfermarkt.de/brian-madjo/profil/spieler/1226357,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,AFC Bournemouth,989,Djordje Petrovic,465555,1999-10-08,Torwart,1,2025-07-16,2030-06-30,[],https://www.transfermarkt.de/djordje-petrovic/profil/spieler/465555,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,2026-09-12
ENG1,AFC Bournemouth,989,Michele Di Gregorio,301238,1997-07-27,Torwart,20,2026-08-25,2027-06-30,[],https://www.transfermarkt.de/michele-di-gregorio/profil/spieler/301238,CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,2026-09-12
ENG1,AFC Bournemouth,989,Fraser Forster,52570,1988-03-17,Torwart,17,2026-01-02,2027-06-30,[],https://www.transfermarkt.de/fraser-forster/profil/spieler/52570,CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,2026-09-12
ENG1,AFC Bournemouth,989,António Silva,650568,2003-10-30,Innenverteidiger,14,2026-08-01,2031-06-30,"[""Neuzugang von: Benfica Lissabon; Datum: 01.08.2026; Ablöse: 25,00 Mio. €""]",https://www.transfermarkt.de/antonio-silva/profil/spieler/650568,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,2026-09-12
ENG1,AFC Bournemouth,989,Bafodé Diakité,463605,2001-01-06,Innenverteidiger,18,2025-08-13,2030-06-30,[],https://www.transfermarkt.de/bafode-diakite/profil/spieler/463605,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,2026-09-12
ENG1,AFC Bournemouth,989,James Hill,611793,2002-01-10,Innenverteidiger,5,2022-01-05,2029-06-30,[],https://www.transfermarkt.de/james-hill/profil/spieler/611793,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,2026-09-12
ENG1,AFC Bournemouth,989,Veljko Milosavljevic,989112,2007-06-28,Innenverteidiger,44,2025-09-01,2030-06-30,[],https://www.transfermarkt.de/veljko-milosavljevic/profil/spieler/989112,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,2026-09-12
ENG1,AFC Bournemouth,989,Adrien Truffert,654539,2001-11-20,Linker Verteidiger,3,2025-07-01,2030-06-30,[],https://www.transfermarkt.de/adrien-truffert/profil/spieler/654539,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,2026-09-12
ENG1,AFC Bournemouth,989,Julio Soler,1009658,2005-02-16,Linker Verteidiger,6,2025-01-07,2029-06-30,[],https://www.transfermarkt.de/julio-soler/profil/spieler/1009658,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,2026-09-12
ENG1,AFC Bournemouth,989,Juanlu Sánchez,676042,2003-08-15,Rechter Verteidiger,24,2026-08-06,,"[""Neuzugang von: FC Sevilla; Datum: 06.08.2026; Ablöse: 11,00 Mio. €""]",https://www.transfermarkt.de/juanlu-sanchez/profil/spieler/676042,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,2026-09-12
ENG1,AFC Bournemouth,989,Julián Araujo,513970,2001-08-13,Rechter Verteidiger,2,2024-08-13,2029-06-30,"[""Rückkehr nach Leihe von: Celtic Glasgow; Datum: 30.06.2026; Ablöse: Leih-Ende""]",https://www.transfermarkt.de/julian-araujo/profil/spieler/513970,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,2026-09-12
