player_tm_id,player,full_name,dob,club_tm_id,club,shirt_number,joined,contract_until,position,foot,height,nationality_text,loan_owner_tm_id,loan_owner,owner_contract_until,profile_notes,source_status,source,source_sha256,retrieved_at,snapshot_date,imported_at
790434,Thierry Tazemeta,Thierry Fidjeu-Tazemeta Junior,2007-07-27,2,1.FC Kaiserslautern,39,2026-07-01,,Sturm - Rechtsaußen,links,"1,92 m",Österreich,,,,"Name im Heimatland: Thierry Fidjeu-Tazemeta Junior Geb./Alter: 27.07.2007 (19) Geburtsort: Klagenfurt Größe: 1,92 m Staatsbürgerschaft: Österreich Position: Sturm - Rechtsaußen Fuß: links Spielerberater: THE·TEAM Aktueller Verein: 1.FC Kaiserslautern Im Team seit: 01.07.2026 Vertrag bis: - Ausrüster: Puma Social Media:",CONFIRMED,https://www.transfermarkt.de/thierry-tazemeta/profil/spieler/790434,4a3b16a4039c2b9e22422e976ea449604793b951a52026060cf51b0af0794cef,2026-09-12T20:44:48.797822+00:00,2026-09-12,2026-09-12T20:44:48.820830+00:00
799993,Ayoube Amaimouni-Echghouyab,أيوب أمايموني إشغوياب,2004-11-30,24,Eintracht Frankfurt,29,2026-01-02,2031-06-30,Sturm - Rechtsaußen,links,"1,79 m",Marokko Spanien,,,,"Name im Heimatland: أيوب أمايموني إشغوياب Geb./Alter: 30.11.2004 (21) Geburtsort: Vic Größe: 1,79 m Staatsbürgerschaft: Marokko Spanien Position: Sturm - Rechtsaußen Fuß: links Spielerberater: EMG Mundial Aktueller Verein: Eintracht Frankfurt Im Team seit: 02.01.2026 Vertrag bis: 30.06.2031",CONFIRMED,https://www.transfermarkt.de/ayoube-amaimouni-echghouyab/profil/spieler/799993,0563f3c8f4ea27b46e47e7463de61005c47365dcef0ff854ccd0ae1e916b978f,2026-09-12T20:44:49.897917+00:00,2026-09-12,2026-09-12T20:44:49.937925+00:00
825960,Gísli Thórdarson,Gísli Gottskálk Þórðarson,2004-09-12,35,FC St. Pauli,5,2026-08-07,2027-06-30,Mittelfeld - Defensives Mittelfeld,rechts,"1,91 m",Island,238,Lech Posen,2029-06-30,"Name im Heimatland: Gísli Gottskálk Þórðarson Geb./Alter: 12.09.2004 (22) Happy Birthday Geburtsort: Reykjavík Größe: 1,91 m Staatsbürgerschaft: Island Position: Mittelfeld - Defensives Mittelfeld Fuß: rechts Spielerberater: CAA Stellar Aktueller Verein: FC St. Pauli Im Team seit: 07.08.2026 Vertrag bis: 30.06.2027 Vertragsoption: Kaufoption Ausgeliehen von: Lech Posen Vertrag dort bis: 30.06.2029",CONFIRMED,https://www.transfermarkt.de/gisli-thordarson/profil/spieler/825960,2fea6402b6a486007d6a0d3f882b8ffd7cacc5b6514559b6eeafacbb152ad0e2,2026-09-12T20:44:51.068887+00:00,2026-09-12,2026-09-12T20:44:51.098892+00:00
856330,Seung-joon Lee,이승준,2004-08-11,1,1.FC Saarbrücken,16,2026-07-02,2028-06-30,Sturm - Rechtsaußen,rechts,"1,74 m",Südkorea,,,,"Name im Heimatland: 이승준 Geb./Alter: 11.08.2004 (22) Größe: 1,74 m Staatsbürgerschaft: Südkorea Position: Sturm - Rechtsaußen Fuß: rechts Spielerberater: IZ Aktueller Verein: 1.FC Saarbrücken Im Team seit: 02.07.2026 Vertrag bis: 30.06.2028 Social Media:",CONFIRMED,https://www.transfermarkt.de/seung-joon-lee/profil/spieler/856330,867e4f5059382c35f743f8c7c70922c56e17ef71fda6bcfba8ef4e3fa644ad4b,2026-09-12T20:44:51.903581+00:00,2026-09-12,2026-09-12T20:44:51.937166+00:00
1005583,Alysson,,2006-05-05,405,Aston Villa,47,2026-01-01,2031-06-30,Sturm - Rechtsaußen,links,"1,84 m",Brasilien,,,,"Vollständiger Name: Alysson Edward Franco da Rocha Geb./Alter: 05.05.2006 (20) Geburtsort: Apucarana Größe: 1,84 m Staatsbürgerschaft: Brasilien Position: Sturm - Rechtsaußen Fuß: links Spielerberater: AGN Football Aktueller Verein: Aston Villa Im Team seit: 01.01.2026 Vertrag bis: 30.06.2031 Social Media:",CONFIRMED,https://www.transfermarkt.de/alysson/profil/spieler/1005583,d809c0538efd713944aaac26cdc6e6095b0b0b835971b1ef4dfa8a5d084a5b59,2026-09-12T20:44:52.893156+00:00,2026-09-12,2026-09-12T20:44:52.916161+00:00
1058036,Maxime Ndong-Penda,Maxime Florian Ndong Penda,2007-03-01,983,TSG 1899 Hoffenheim II,44,2026-07-01,2027-06-30,Abwehr - Innenverteidiger,rechts,"1,92 m",Deutschland Kamerun,,,,"Name im Heimatland: Maxime Florian Ndong Penda Geb./Alter: 01.03.2007 (19) Geburtsort: Bochum Größe: 1,92 m Staatsbürgerschaft: Deutschland Kamerun Position: Abwehr - Innenverteidiger Fuß: rechts Aktueller Verein: TSG 1899 Hoffenheim II Im Team seit: 01.07.2026 Vertrag bis: 30.06.2027",CONFIRMED,https://www.transfermarkt.de/maxime-ndong-penda/profil/spieler/1058036,75c3e999aad4f16c3eeaae0634c7a02b461c360edd0a0bd2037667ee8cfdd64f,2026-09-12T20:44:53.965419+00:00,2026-09-12,2026-09-12T20:44:53.991425+00:00
1080555,Paul Erevbenagie,Paul Bright Max Erevbenagie,2007-08-19,86,SV Werder Bremen,38,2026-07-04,,Sturm - Rechtsaußen,,"1,81 m",Deutschland,,,,"Name im Heimatland: Paul Bright Max Erevbenagie Geb./Alter: 19.08.2007 (19) Geburtsort: Bremerhaven Größe: 1,81 m Staatsbürgerschaft: Deutschland Position: Sturm - Rechtsaußen Spielerberater: PRO Profil GmbH Aktueller Verein: SV Werder Bremen Im Team seit: 04.07.2026 Vertrag bis: -",CONFIRMED,https://www.transfermarkt.de/paul-erevbenagie/profil/spieler/1080555,a376a7fc01b647621677c1c975663333b88869b48449d4972668b5a962eab2ae,2026-09-12T20:44:54.833488+00:00,2026-09-12,2026-09-12T20:44:54.855669+00:00
1093438,Temilola Awoyale,Temilola Samuel Awoyale,2005-07-23,476,TSV Havelse,36,2026-02-02,2027-06-30,Mittelfeld - Zentrales Mittelfeld,rechts,"1,80 m",Nigeria Deutschland,,,,"Name im Heimatland: Temilola Samuel Awoyale Geb./Alter: 23.07.2005 (21) Geburtsort: Osnabrück Größe: 1,80 m Staatsbürgerschaft: Nigeria Deutschland Position: Mittelfeld - Zentrales Mittelfeld Fuß: rechts Spielerberater: Golden Gate Group Aktueller Verein: TSV Havelse Im Team seit: 02.02.2026 Vertrag bis: 30.06.2027",CONFIRMED,https://www.transfermarkt.de/temilola-awoyale/profil/spieler/1093438,36947d526e8e218f63ab1e90da216bf0a48e67485c6108f2d3dea7fb516f6838,2026-09-12T20:44:57.533557+00:00,2026-09-12,2026-09-12T20:44:57.556558+00:00
1111589,El Hadji Malick Diouf,,2004-12-29,1148,FC Brentford,25,2026-08-28,2031-06-30,Abwehr - Linker Verteidiger,links,"1,83 m",Senegal,,,,"Geb./Alter: 29.12.2004 (21) Geburtsort: Dakar Größe: 1,83 m Staatsbürgerschaft: Senegal Position: Abwehr - Linker Verteidiger Fuß: links Spielerberater: PSM Aktueller Verein: FC Brentford Im Team seit: 28.08.2026 Vertrag bis: 30.06.2031 Vertragsoption: vereinsseitig 1 Jahr Social Media:",CONFIRMED,https://www.transfermarkt.de/el-hadji-malick-diouf/profil/spieler/1111589,9c63d470682a9dd144597c39ed41db0ab7a3f0b8d98f97f4f29dfef11561d505,2026-09-12T20:45:01.401679+00:00,2026-09-12,2026-09-12T20:45:01.422684+00:00
1154529,Chung-hyun Lee,이충현,2007-09-12,187,1.FC Magdeburg,18,2026-07-14,2027-06-30,Sturm - Linksaußen,,"1,77 m",Südkorea,35759,Bucheon FC 1995,2028-12-31,"Name im Heimatland: 이충현 Geb./Alter: 12.09.2007 (19) Happy Birthday Geburtsort: Suwon, Gyeonggi Größe: 1,77 m Staatsbürgerschaft: Südkorea Position: Sturm - Linksaußen Spielerberater: CREST CO., LTD. Aktueller Verein: 1.FC Magdeburg Im Team seit: 14.07.2026 Vertrag bis: 30.06.2027 Vertragsoption: Kaufoption Ausgeliehen von: Bucheon FC 1995 Vertrag dort bis: 31.12.2028 Social Media:",CONFIRMED,https://www.transfermarkt.de/chung-hyun-lee/profil/spieler/1154529,accaa2225ffde78813f058a5eb2b8a7c1b43caa1a8da2f88f58fe186513d0f76,2026-09-12T20:45:01.774266+00:00,2026-09-12,2026-09-12T20:45:01.795272+00:00
1157068,Malte Wilke,,2007-06-25,25,FC Energie Cottbus,40,2026-07-01,,Torwart,,"1,87 m",Deutschland,,,,"Geb./Alter: 25.06.2007 (19) Geburtsort: Bad Doberan Größe: 1,87 m Staatsbürgerschaft: Deutschland Position: Torwart Aktueller Verein: FC Energie Cottbus Im Team seit: 01.07.2026 Vertrag bis: -",CONFIRMED,https://www.transfermarkt.de/malte-wilke/profil/spieler/1157068,e4c0e847fe7885e5f8fe6e2cc842456db01f607050e760df6f6c6200bd01dc09,2026-09-12T20:45:02.716085+00:00,2026-09-12,2026-09-12T20:45:02.737090+00:00
1267598,Tiago De Moura,Tiago De Moura Moraes,2007-07-13,1557,Würzburger Kickers,15,2025-07-01,2027-06-30,Sturm - Mittelstürmer,,"1,86 m",Deutschland,,,,"Name im Heimatland: Tiago De Moura Moraes Geb./Alter: 13.07.2007 (19) Geburtsort: Würzburg Größe: 1,86 m Staatsbürgerschaft: Deutschland Position: Sturm - Mittelstürmer Aktueller Verein: Würzburger Kickers Im Team seit: 01.07.2025 Vertrag bis: 30.06.2027",CONFIRMED,https://www.transfermarkt.de/tiago-de-moura/profil/spieler/1267598,675ac38ae170b4f018c21b64e6b30709c37076002f719b79d96d9aeba1303d1e,2026-09-12T20:45:03.797693+00:00,2026-09-12,2026-09-12T20:45:03.821699+00:00
1279984,Lucas Herrington,,2007-09-05,3008,Hull City,22,2026-08-12,2031-06-30,Abwehr - Innenverteidiger,rechts,"1,93 m",Australien Deutschland,,,,"Geb./Alter: 05.09.2007 (19) Geburtsort: Brisbane Größe: 1,93 m Staatsbürgerschaft: Australien Deutschland Position: Abwehr - Innenverteidiger Fuß: rechts Spielerberater: Benchmark Sports Aktueller Verein: Hull City Im Team seit: 12.08.2026 Vertrag bis: 30.06.2031 Social Media:",CONFIRMED,https://www.transfermarkt.de/lucas-herrington/profil/spieler/1279984,8941c70c68a16e7d3fd8b6cc1bf798805056b3570b2a3246a35526f1de685078,2026-09-12T20:45:05.545042+00:00,2026-09-12,2026-09-12T20:45:05.581050+00:00
1294358,Noah Santiago Lorch,,2005-12-09,2589,SG Sonnenhof Großaspach,28,2026-07-01,2029-06-30,Mittelfeld - Zentrales Mittelfeld,rechts,"1,86 m",Deutschland,,,,"Geb./Alter: 09.12.2005 (20) Geburtsort: Bietigheim-Bissingen Größe: 1,86 m Staatsbürgerschaft: Deutschland Position: Mittelfeld - Zentrales Mittelfeld Fuß: rechts Spielerberater: ASK Sportmanagement ... Aktueller Verein: SG Sonnenhof Großaspach Im Team seit: 01.07.2026 Vertrag bis: 30.06.2029",CONFIRMED,https://www.transfermarkt.de/noah-santiago-lorch/profil/spieler/1294358,ae79e66b1af3c631944ba784416a794ced8f144c4d6d64967ef5abf8d577dcf6,2026-09-12T20:45:06.372023+00:00,2026-09-12,2026-09-12T20:45:06.392033+00:00
1307411,Joschua Siewert,Joschua Caspar Siewert,2009-05-24,1065,Hannover 96 II,21,2026-07-01,2029-06-30,Abwehr - Innenverteidiger,rechts,,Deutschland,,,,Name im Heimatland: Joschua Caspar Siewert Geb./Alter: 24.05.2009 (17) Geburtsort: Hannover Staatsbürgerschaft: Deutschland Position: Abwehr - Innenverteidiger Fuß: rechts Spielerberater: think forward Aktueller Verein: Hannover 96 II Im Team seit: 01.07.2026 Vertrag bis: 30.06.2029 2. Verein: Hannover 96 (#35),CONFIRMED,https://www.transfermarkt.de/joschua-siewert/profil/spieler/1307411,1ea390fc22c6101aec7892a1bf269da6234ca0584521c264d0a7b394fe3ed1e9,2026-09-12T20:45:07.076871+00:00,2026-09-12,2026-09-12T20:45:07.098878+00:00
1311594,Enzo dos Santos,Enzo de Pina Duarte dos Santos,2009-01-28,16,Borussia Dortmund,44,2026-08-19,2029-06-30,Mittelfeld - Zentrales Mittelfeld,rechts,"1,86 m",Luxemburg Kap Verde,,,,"Name im Heimatland: Enzo de Pina Duarte dos Santos Geb./Alter: 28.01.2009 (17) Größe: 1,86 m Staatsbürgerschaft: Luxemburg Kap Verde Position: Mittelfeld - Zentrales Mittelfeld Fuß: rechts Spielerberater: CAA Stellar Aktueller Verein: Borussia Dortmund Im Team seit: 19.08.2026 Vertrag bis: 30.06.2029 2. Verein: Borussia Dortmund U19 (#23) 3. Verein: Borussia Dortmund UEFA U19 (#23) Ausrüster: Puma Social Media:",CONFIRMED,https://www.transfermarkt.de/enzo-dos-santos/profil/spieler/1311594,bbd16d389fff9260738dfefd17b5e9174c1a35f29f982370caaea63834672fb5,2026-09-12T20:45:07.959633+00:00,2026-09-12,2026-09-12T20:45:07.983638+00:00
1392804,Ndjicoura Bomba,Ndjicoura Raymond Bomba,2008-03-12,15,Bayer 04 Leverkusen,,2026-07-01,2030-06-30,Sturm - Mittelstürmer,,"1,87 m",Mali,,,,"Name im Heimatland: Ndjicoura Raymond Bomba Geb./Alter: 12.03.2008 (18) Größe: 1,87 m Staatsbürgerschaft: Mali Position: Sturm - Mittelstürmer Spielerberater: Astro Aktueller Verein: Bayer 04 Leverkusen Im Team seit: 01.07.2026 Vertrag bis: 30.06.2030",CONFIRMED,https://www.transfermarkt.de/ndjicoura-bomba/profil/spieler/1392804,7986f30815efe1b103aaa5b7338f4d761e3582e312885e5ec8d594101273f36d,2026-09-12T20:45:08.954957+00:00,2026-09-12,2026-09-12T20:45:08.974962+00:00
1392952,Alynho Haidara,,2008-07-26,851,1.FSV Mainz 05 II,29,2026-07-26,,Sturm - Mittelstürmer,,"1,90 m",Elfenbeinküste,,,,"Geb./Alter: 26.07.2008 (18) Geburtsort: Jacqueville Größe: 1,90 m Staatsbürgerschaft: Elfenbeinküste Position: Sturm - Mittelstürmer Aktueller Verein: 1.FSV Mainz 05 II Im Team seit: 26.07.2026 Vertrag bis: - 2. Verein: 1.FSV Mainz 05 (#39)",CONFIRMED,https://www.transfermarkt.de/alynho-haidara/profil/spieler/1392952,e70279c599ac6779309ef1cab224bf8948dfd4ce406e50919c920b4aeea6066f,2026-09-12T20:45:09.914603+00:00,2026-09-12,2026-09-12T20:45:09.934610+00:00
1401779,Jules Ahoka,,2006-05-08,289,AFC Sunderland,29,2026-08-24,2031-06-30,Mittelfeld - Defensives Mittelfeld,rechts,"1,90 m",DR Kongo,,,,"Geb./Alter: 08.05.2006 (20) Geburtsort: Kinshasa Größe: 1,90 m Staatsbürgerschaft: DR Kongo Position: Mittelfeld - Defensives Mittelfeld Fuß: rechts Spielerberater: BY Sport Consulting Aktueller Verein: AFC Sunderland Im Team seit: 24.08.2026 Vertrag bis: 30.06.2031 Social Media:",CONFIRMED,https://www.transfermarkt.de/jules-ahoka/profil/spieler/1401779,b2b6cd17dc04cc0b0da7649afebd8c2a337412efdeaa550bcdeacf18320e1c01,2026-09-12T20:45:11.252709+00:00,2026-09-12,2026-09-12T20:45:11.287719+00:00
1412872,Emmanuel Bamba,,2007-10-29,93,SC Verl,29,2026-07-01,2028-06-30,Abwehr - Linker Verteidiger,,,Deutschland,,,,Geb./Alter: 29.10.2007 (18) Staatsbürgerschaft: Deutschland Position: Abwehr - Linker Verteidiger Aktueller Verein: SC Verl Im Team seit: 01.07.2026 Vertrag bis: 30.06.2028,CONFIRMED,https://www.transfermarkt.de/emmanuel-bamba/profil/spieler/1412872,b97836ce12c09f921bde2232573f7e945268ab4dedca86cf1df129327eb8304b,2026-09-12T20:45:12.291130+00:00,2026-09-12,2026-09-12T20:45:12.322137+00:00
1490222,Joel Darko Ampem,,2007-03-08,476,TSV Havelse,35,2026-07-01,2028-06-30,Mittelfeld - Zentrales Mittelfeld,rechts,,Ghana,,,,Geb./Alter: 08.03.2007 (19) Staatsbürgerschaft: Ghana Position: Mittelfeld - Zentrales Mittelfeld Fuß: rechts Aktueller Verein: TSV Havelse Im Team seit: 01.07.2026 Vertrag bis: 30.06.2028,CONFIRMED,https://www.transfermarkt.de/joel-darko-ampem/profil/spieler/1490222,b09acc457bf46fc8ad77cc31ea25456df385997c19b446d02e1f8eefd4edd717,2026-09-12T20:45:12.958079+00:00,2026-09-12,2026-09-12T20:45:12.978086+00:00
1497653,Bara Sapoko Ndiaye,Bara Joseph Sapoko Ndiaye,2007-12-31,27,FC Bayern München,39,2026-08-10,2031-06-30,Mittelfeld - Zentrales Mittelfeld,rechts,"1,80 m",Senegal,,,,"Name im Heimatland: Bara Joseph Sapoko Ndiaye Geb./Alter: 31.12.2007 (18) Geburtsort: Mékhé Größe: 1,80 m Staatsbürgerschaft: Senegal Position: Mittelfeld - Zentrales Mittelfeld Fuß: rechts Spielerberater: 4FC Aktueller Verein: FC Bayern München Im Team seit: 10.08.2026 Vertrag bis: 30.06.2031 Social Media:",CONFIRMED,https://www.transfermarkt.de/bara-sapoko-ndiaye/profil/spieler/1497653,da274f0260b14acd87b628bb31abfa57393c9076d4857eba63f110c9e0b75a4b,2026-09-12T20:45:14.053163+00:00,2026-09-12,2026-09-12T20:45:14.076168+00:00
