league,club_name,external_club_id,player_name,external_player_id,dob,status,review_reason,classification,transfer_type,old_club_id,new_club_id,fm_id,fifa_id,source_url,source_sha256
ENG1,Ipswich Town,677,Cédric Kipré,364827,1996-12-09,REVIEW_REQUIRED,Installed future conditions need typed native review,UNCHANGED,PERMANENT,917538,917538,261461,235458,https://www.transfermarkt.de/ipswich-town/kader/verein/677/saison_id/2026/plus/1,27c77a20084b00ebf1368072929c14c023348a25975bceca8389e69766b037af
ENG1,Ipswich Town,677,Florentino,357162,1999-08-19,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,PERMANENT,917526,917538,260241,234569,https://www.transfermarkt.de/ipswich-town/kader/verein/677/saison_id/2026/plus/1,27c77a20084b00ebf1368072929c14c023348a25975bceca8389e69766b037af
ENG1,Ipswich Town,677,Anis Mehmeti,530813,2001-01-09,REVIEW_REQUIRED,Changed club without confirmed matching transfer event,TRANSFER_IN,UNVERIFIED,917555,917538,24129,250816,https://www.transfermarkt.de/ipswich-town/kader/verein/677/saison_id/2026/plus/1,27c77a20084b00ebf1368072929c14c023348a25975bceca8389e69766b037af
ENG1,Ipswich Town,677,Chuba Akpom,197642,1995-10-09,REVIEW_REQUIRED,Installed future conditions need typed native review,UNCHANGED,PERMANENT,917538,917538,261455,213418,https://www.transfermarkt.de/ipswich-town/kader/verein/677/saison_id/2026/plus/1,27c77a20084b00ebf1368072929c14c023348a25975bceca8389e69766b037af
ENG1,Leeds United,399,Melvin Bard,532775,2000-11-06,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,1179666,917545,285266,254548,https://www.transfermarkt.de/leeds-united/kader/verein/399/saison_id/2026/plus/1,8641181efead6b745e037ec49edb34f1c7ca3a066d41825076ee3196fb4eedd5
ENG1,Leeds United,399,Jean-Mattéo Bahoya,939964,2005-05-07,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,1376279,917545,277149,269728,https://www.transfermarkt.de/leeds-united/kader/verein/399/saison_id/2026/plus/1,8641181efead6b745e037ec49edb34f1c7ca3a066d41825076ee3196fb4eedd5
ENG1,Leeds United,399,Mateo Joseph,834742,2003-10-19,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,LOAN_RETURN,2949130,917545,282417,270206,https://www.transfermarkt.de/leeds-united/kader/verein/399/saison_id/2026/plus/1,8641181efead6b745e037ec49edb34f1c7ca3a066d41825076ee3196fb4eedd5
ENG1,Liverpool,31,Vitezslav Jaros,486604,2001-07-23,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,LOAN_RETURN,2228227,917509,295672,253428,https://www.transfermarkt.de/fc-liverpool/kader/verein/31/saison_id/2026/plus/1,03f6f6108aec08d5028c45b59b341f94eb0a4ac80c8d3246a9cf1767419f8789
ENG1,Liverpool,31,Harvey Davies,706815,2003-09-03,REVIEW_REQUIRED,Changed club without confirmed matching transfer event,TRANSFER_IN,UNVERIFIED,917613,917509,267822,271977,https://www.transfermarkt.de/fc-liverpool/kader/verein/31/saison_id/2026/plus/1,03f6f6108aec08d5028c45b59b341f94eb0a4ac80c8d3246a9cf1767419f8789
ENG1,Liverpool,31,Ronald Araujo,480267,1999-03-07,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,2949124,917509,283341,253163,https://www.transfermarkt.de/fc-liverpool/kader/verein/31/saison_id/2026/plus/1,03f6f6108aec08d5028c45b59b341f94eb0a4ac80c8d3246a9cf1767419f8789
ENG1,Liverpool,31,Konstantinos Tsimikas,338070,1996-05-12,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,LOAN_RETURN,1769476,917509,278477,232223,https://www.transfermarkt.de/fc-liverpool/kader/verein/31/saison_id/2026/plus/1,03f6f6108aec08d5028c45b59b341f94eb0a4ac80c8d3246a9cf1767419f8789
ENG1,Manchester City,281,Vitor Reis,1005575,2006-01-12,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,LOAN_RETURN,2949203,917518,282935,76624,https://www.transfermarkt.de/manchester-city/kader/verein/281/saison_id/2026/plus/1,480dc31ff14f1e9821d8a65e16c6d82796ba24da1b92e06c4904603842d4bf05
ENG1,Manchester City,281,Josh Wilson-Esbrand,576121,2002-12-26,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,LOAN_RETURN,2424862,917518,148811,264681,https://www.transfermarkt.de/manchester-city/kader/verein/281/saison_id/2026/plus/1,480dc31ff14f1e9821d8a65e16c6d82796ba24da1b92e06c4904603842d4bf05
ENG1,Manchester City,281,Ryan McAidoo,1187640,2008-06-24,REVIEW_REQUIRED,Missing/expired contract or unverified effective date,UNCHANGED,PERMANENT,917518,917518,274793,262667,https://www.transfermarkt.de/manchester-city/kader/verein/281/saison_id/2026/plus/1,480dc31ff14f1e9821d8a65e16c6d82796ba24da1b92e06c4904603842d4bf05
ENG1,Manchester United,985,Harry Amass,1011738,2007-03-16,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,LOAN_RETURN,917527,917519,24352,273599,https://www.transfermarkt.de/manchester-united/kader/verein/985/saison_id/2026/plus/1,543b8e96c6fed73672ad0d37c674352b89ff1da2c63778ec7fb5492ad88361a2
ENG1,Manchester United,985,Marcus Rashford,258923,1997-10-31,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,LOAN_RETURN,2949124,917519,283336,231677,https://www.transfermarkt.de/manchester-united/kader/verein/985/saison_id/2026/plus/1,543b8e96c6fed73672ad0d37c674352b89ff1da2c63778ec7fb5492ad88361a2
ENG1,Nottingham Forest,703,Steven Benda,381469,1998-10-01,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,PERMANENT,917548,917549,262451,241076,https://www.transfermarkt.de/nottingham-forest/kader/verein/703/saison_id/2026/plus/1,1f3c6bd0f0de76240faea845ee07a8d1fad13ffa72e96a8cbb4612f966f30983
ENG1,Sunderland,289,Kevin Danso,263236,1998-09-19,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,917514,917524,265414,237985,https://www.transfermarkt.de/afc-sunderland/kader/verein/289/saison_id/2026/plus/1,bd74ae0019b88eeaf201f5b09382a2f264e6feab18e637371f9e43576b711509
ENG1,Sunderland,289,Jules Ahoka,1401779,2006-05-08,REVIEW_REQUIRED,Identity unresolved,MISSING_FROM_FM,UNVERIFIED,,917524,,85425,https://www.transfermarkt.de/afc-sunderland/kader/verein/289/saison_id/2026/plus/1,bd74ae0019b88eeaf201f5b09382a2f264e6feab18e637371f9e43576b711509
ENG1,Sunderland,289,Alan Browne,277697,1995-04-15,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,LOAN_RETURN,917522,917524,266500,216464,https://www.transfermarkt.de/afc-sunderland/kader/verein/289/saison_id/2026/plus/1,bd74ae0019b88eeaf201f5b09382a2f264e6feab18e637371f9e43576b711509
ENG1,Sunderland,289,Jocelin Ta Bi,1322090,2005-02-09,REVIEW_REQUIRED,Changed club without confirmed matching transfer event,TRANSFER_IN,UNVERIFIED,1703940,917524,118934,0,https://www.transfermarkt.de/afc-sunderland/kader/verein/289/saison_id/2026/plus/1,bd74ae0019b88eeaf201f5b09382a2f264e6feab18e637371f9e43576b711509
ENG1,Tottenham Hotspur,148,Sávio,743591,2004-04-10,REVIEW_REQUIRED,Identity unresolved,MISSING_FROM_FM,UNVERIFIED,,917514,,,https://www.transfermarkt.de/tottenham-hotspur/kader/verein/148/saison_id/2026/plus/1,007fc11048dc50b4cfd2c580b82958bb7cc02f984af0af71c4079e53b5c71390
ENG1,Tottenham Hotspur,148,Mykhaylo Mudryk,537860,2001-01-05,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,917513,917514,23316,246340,https://www.transfermarkt.de/tottenham-hotspur/kader/verein/148/saison_id/2026/plus/1,007fc11048dc50b4cfd2c580b82958bb7cc02f984af0af71c4079e53b5c71390
ENG1,Tottenham Hotspur,148,Omar Marmoush,445939,1999-02-07,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,917518,917514,262597,256675,https://www.transfermarkt.de/tottenham-hotspur/kader/verein/148/saison_id/2026/plus/1,007fc11048dc50b4cfd2c580b82958bb7cc02f984af0af71c4079e53b5c71390
GER1,FC Bayern München,27,Sven Ulreich,40680,1988-08-03,REVIEW_REQUIRED,Installed future conditions need typed native review,UNCHANGED,UNVERIFIED,1376264,1376264,276826,186569,https://www.transfermarkt.de/fc-bayern-munchen/kader/verein/27/saison_id/2026/plus/1,820ba470399c46c372cca08fabf7f49fd2f3e3e097d9ac94e1494b055e7a3df5
GER1,FC Bayern München,27,Bara Sapoko Ndiaye,1497653,2007-12-31,REVIEW_REQUIRED,Identity unresolved,MISSING_FROM_FM,UNVERIFIED,,1376264,,,https://www.transfermarkt.de/fc-bayern-munchen/kader/verein/27/saison_id/2026/plus/1,820ba470399c46c372cca08fabf7f49fd2f3e3e097d9ac94e1494b055e7a3df5
