league,club,player,player_tm_id,status,issues,roster_club_tm_id,profile_club_tm_id,full_name,dob,nationality,loan_owner_tm_id,owner_contract_until,profile_source,profile_sha256,roster_source,roster_sha256,snapshot_date
BEL1,KRC Genk,Hendrik Van Crombrugge,137326,HIGH_CONFIDENCE,,1184,1184,,1993-04-30,Belgien,,,https://www.transfermarkt.de/hendrik-van-crombrugge/profil/spieler/137326,887d4eb1c734fae4cc0ff9bb8c1fa8f97974c92cac7d2a0bcb85eb1db858f608,https://www.transfermarkt.de/krc-genk/kader/verein/1184/saison_id/2026/plus/1,85979abe0c47d79971cc0cee642e1248d1cad9da00ea0a7a7add7591bfc915c0,2026-09-12
BEL1,KRC Genk,Elie Mbavu,1232104,HIGH_CONFIDENCE,,1184,1184,,2009-10-20,Belgien,,,https://www.transfermarkt.de/elie-mbavu/profil/spieler/1232104,73559f6d1b60ecfdb1269a8ebd0bba8189aabb781ddc5a37a45044cc5d0d26a9,https://www.transfermarkt.de/krc-genk/kader/verein/1184/saison_id/2026/plus/1,85979abe0c47d79971cc0cee642e1248d1cad9da00ea0a7a7add7591bfc915c0,2026-09-12
BEL1,KRC Genk,Emmanuel Sarfo,1318195,HIGH_CONFIDENCE,,1184,1184,Emmanuel Jeriel Sarfo,2007-07-12,Belgien,,,https://www.transfermarkt.de/emmanuel-sarfo/profil/spieler/1318195,7c96403ff731fa2fcd44db963bb265302f382795907dbe9111cfd735a5480ee2,https://www.transfermarkt.de/krc-genk/kader/verein/1184/saison_id/2026/plus/1,85979abe0c47d79971cc0cee642e1248d1cad9da00ea0a7a7add7591bfc915c0,2026-09-12
BEL1,KAA Gent,Abdoul Ayinde,1160184,HIGH_CONFIDENCE,,157,157,Abdoul Rachid Ayinde,2005-07-17,Burkina Faso,,,https://www.transfermarkt.de/abdoul-ayinde/profil/spieler/1160184,bd9a371ffc822763cd49d089f3834ce803a491c2e9cfbda411ae6d9e3a9bdf7e,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12
BEL1,KAA Gent,Ibrahima Cissé,1473866,HIGH_CONFIDENCE,,157,157,,2007-09-24,Senegal,,,https://www.transfermarkt.de/ibrahima-cisse/profil/spieler/1473866,962f8763e7843d37a826b84277a931df3b074eedeb4dc3750fb4d3cb7d1fe5a5,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12
BEL1,KV Kortrijk,Tristen Alliet,1226227,HIGH_CONFIDENCE,,601,601,,2005-04-19,Belgien,,,https://www.transfermarkt.de/tristen-alliet/profil/spieler/1226227,9cbe929c181bfc2e15c7bb930906ba9d6b9651b6d2111b4cd6bdb70d725c014f,https://www.transfermarkt.de/kv-kortrijk/kader/verein/601/saison_id/2026/plus/1,a4999f54d8da64602d94dda7998adfe30af76e24e0c684550e581e845d6cfc0c,2026-09-12
BEL1,KV Kortrijk,Axel Drouhin,935507,HIGH_CONFIDENCE,,601,601,,2000-03-18,Frankreich,,,https://www.transfermarkt.de/axel-drouhin/profil/spieler/935507,f4b672c7f57118a31acb38f0c24572b8167d0976515ce56a68c69b766c145e07,https://www.transfermarkt.de/kv-kortrijk/kader/verein/601/saison_id/2026/plus/1,a4999f54d8da64602d94dda7998adfe30af76e24e0c684550e581e845d6cfc0c,2026-09-12
BEL1,KV Kortrijk,Guust Lamerand,1456177,HIGH_CONFIDENCE,,601,601,,2008-03-21,Belgien,,,https://www.transfermarkt.de/guust-lamerand/profil/spieler/1456177,1d53ef1f742dc0e44b3ff979f5c6eca8281bf96698ac9afbe16eee7471f4eda9,https://www.transfermarkt.de/kv-kortrijk/kader/verein/601/saison_id/2026/plus/1,a4999f54d8da64602d94dda7998adfe30af76e24e0c684550e581e845d6cfc0c,2026-09-12
BEL1,KV Kortrijk,Sixtus Ogbuehi,1230201,HIGH_CONFIDENCE,,601,601,Nzubechi Sixtus Ogbuehi Ogbuehi,2003-03-15,Nigeria,,,https://www.transfermarkt.de/sixtus-ogbuehi/profil/spieler/1230201,3ced30cfcd8c2e3a6411b0991a26d2f84a60803e30b9d48ff41cffafdff2158c,https://www.transfermarkt.de/kv-kortrijk/kader/verein/601/saison_id/2026/plus/1,a4999f54d8da64602d94dda7998adfe30af76e24e0c684550e581e845d6cfc0c,2026-09-12
BEL1,Lommel SK,Melvin Ramundo,1451840,HIGH_CONFIDENCE,,5026,5026,,2007-09-07,Belgien,,,https://www.transfermarkt.de/melvin-ramundo/profil/spieler/1451840,3db96717e2fc3af6a262eeb76050c9e1ea477ea4445e96c2d2e5c91f546cf8a6,https://www.transfermarkt.de/lommel-sk/kader/verein/5026/saison_id/2026/plus/1,9ff756a9f65fb1a83d753e141d2c89530fd8a9311bba2096f5846c718c381d8a,2026-09-12
BEL1,Lommel SK,Emile Vandecraen,1335076,HIGH_CONFIDENCE,,5026,5026,,2008-05-11,Belgien,,,https://www.transfermarkt.de/emile-vandecraen/profil/spieler/1335076,49a309945f8adc41179b87df39226f9130dd637bf579bd8b834e88224c92abd3,https://www.transfermarkt.de/lommel-sk/kader/verein/5026/saison_id/2026/plus/1,9ff756a9f65fb1a83d753e141d2c89530fd8a9311bba2096f5846c718c381d8a,2026-09-12
BEL1,Lommel SK,Djordje Gordic,858324,HIGH_CONFIDENCE,,5026,5026,Ђорђе Гордић,2004-11-05,Serbien,,,https://www.transfermarkt.de/djordje-gordic/profil/spieler/858324,45736d88af2b5f6c84b7fbbfaa86ea72f3533997b4d157708a9f14b8711f706f,https://www.transfermarkt.de/lommel-sk/kader/verein/5026/saison_id/2026/plus/1,9ff756a9f65fb1a83d753e141d2c89530fd8a9311bba2096f5846c718c381d8a,2026-09-12
BEL1,Lommel SK,Elijah Odede,1372119,HIGH_CONFIDENCE,,5026,5026,Elijah Olaniyi Odede,2007-01-12,Nigeria,1095,2030-06-30,https://www.transfermarkt.de/elijah-odede/profil/spieler/1372119,09097fed4b92fe92a1ea74497fc1f42587da572fc222452e8791017ef6b3cfc5,https://www.transfermarkt.de/lommel-sk/kader/verein/5026/saison_id/2026/plus/1,9ff756a9f65fb1a83d753e141d2c89530fd8a9311bba2096f5846c718c381d8a,2026-09-12
BEL1,Lommel SK,Stredair Appuah,1004618,HIGH_CONFIDENCE,,5026,5026,Stredair Owusu Appuah,2004-06-27,Frankreich Ghana,458,2029-06-30,https://www.transfermarkt.de/stredair-appuah/profil/spieler/1004618,7ff784bf92e76865af8dab60acb152615576aad7f67b12f4548c0fc14518bad2,https://www.transfermarkt.de/lommel-sk/kader/verein/5026/saison_id/2026/plus/1,9ff756a9f65fb1a83d753e141d2c89530fd8a9311bba2096f5846c718c381d8a,2026-09-12
BEL1,Lommel SK,Alexander Reumers,1072029,HIGH_CONFIDENCE,,5026,5026,,2007-04-27,Belgien,,,https://www.transfermarkt.de/alexander-reumers/profil/spieler/1072029,9a612032df021fe7eacc87d224c12f1756eed717be41cbc211b68d6b3bb61909,https://www.transfermarkt.de/lommel-sk/kader/verein/5026/saison_id/2026/plus/1,9ff756a9f65fb1a83d753e141d2c89530fd8a9311bba2096f5846c718c381d8a,2026-09-12
BEL1,KV Mechelen,Axel Willockx,1192697,HIGH_CONFIDENCE,,354,354,,2007-02-07,Belgien,,,https://www.transfermarkt.de/axel-willockx/profil/spieler/1192697,090df29cf949afbe408214080197a126c937135e21e8de5d55f5bf2e0745f6f2,https://www.transfermarkt.de/kv-mechelen/kader/verein/354/saison_id/2026/plus/1,def54d86d9d3b7a97807ef82c6b867bdf78c5b32694c9ea844fc271b85c916a5,2026-09-12
BEL1,KV Mechelen,Ryan Teague,616431,HIGH_CONFIDENCE,,354,354,Ryan Graham Pun Teague,2002-01-24,Australien,,,https://www.transfermarkt.de/ryan-teague/profil/spieler/616431,485a464338f4348bcd3044073e83c182cc3159168bc872a9158011440eebc0bf,https://www.transfermarkt.de/kv-mechelen/kader/verein/354/saison_id/2026/plus/1,def54d86d9d3b7a97807ef82c6b867bdf78c5b32694c9ea844fc271b85c916a5,2026-09-12
BEL1,KV Mechelen,Amine Ouahabi,1269453,HIGH_CONFIDENCE,,354,354,أمين الوهابي,2008-07-04,Marokko Belgien,,,https://www.transfermarkt.de/amine-ouahabi/profil/spieler/1269453,08ef3ae9993ac946d25bb8e6f9224a8aa2c2c509ff326ea21d17d7b0fe0af80f,https://www.transfermarkt.de/kv-mechelen/kader/verein/354/saison_id/2026/plus/1,def54d86d9d3b7a97807ef82c6b867bdf78c5b32694c9ea844fc271b85c916a5,2026-09-12
BEL1,KV Mechelen,Marco Decherf,1188222,HIGH_CONFIDENCE,,354,354,,2006-10-23,Frankreich,,,https://www.transfermarkt.de/marco-decherf/profil/spieler/1188222,676399f5d46f3201977955dcf6fcbca1124d8154402e331f004acb3bb6acc948,https://www.transfermarkt.de/kv-mechelen/kader/verein/354/saison_id/2026/plus/1,def54d86d9d3b7a97807ef82c6b867bdf78c5b32694c9ea844fc271b85c916a5,2026-09-12
BEL1,KV Mechelen,Simion Michez,486054,HIGH_CONFIDENCE,,354,354,Simion Boubacar Michez,2002-02-09,Kamerun Belgien,,,https://www.transfermarkt.de/simion-michez/profil/spieler/486054,9a8fd46ca93f7f1379c69391cc46f3c920522e1bcbd30549161a3eaf7bfae479,https://www.transfermarkt.de/kv-mechelen/kader/verein/354/saison_id/2026/plus/1,def54d86d9d3b7a97807ef82c6b867bdf78c5b32694c9ea844fc271b85c916a5,2026-09-12
BEL1,KV Mechelen,Yanis Asghir,1276349,HIGH_CONFIDENCE,,354,354,يانيس أصغر,2009-01-05,Marokko Belgien,,,https://www.transfermarkt.de/yanis-asghir/profil/spieler/1276349,b14e81e20a93a45482eb4acbccad898606efc2a1ae037a462fd06328b65182b7,https://www.transfermarkt.de/kv-mechelen/kader/verein/354/saison_id/2026/plus/1,def54d86d9d3b7a97807ef82c6b867bdf78c5b32694c9ea844fc271b85c916a5,2026-09-12
BEL1,KV Mechelen,Mats Van Helden,1186566,HIGH_CONFIDENCE,,354,354,,2006-06-01,Belgien,,,https://www.transfermarkt.de/mats-van-helden/profil/spieler/1186566,2fc4f8cdd20506e9a1ee13092677fe455877540763a38082540bcb032c9ad928,https://www.transfermarkt.de/kv-mechelen/kader/verein/354/saison_id/2026/plus/1,def54d86d9d3b7a97807ef82c6b867bdf78c5b32694c9ea844fc271b85c916a5,2026-09-12
BEL1,KV Mechelen,Bill Antonio,956050,HIGH_CONFIDENCE,,354,354,Bill Leeroy Antonio,2002-09-03,Simbabwe,,,https://www.transfermarkt.de/bill-antonio/profil/spieler/956050,ef1806b70c1f80ff7a26b2968fea05cae8c31c4492836a2e60c71309fff82e69,https://www.transfermarkt.de/kv-mechelen/kader/verein/354/saison_id/2026/plus/1,def54d86d9d3b7a97807ef82c6b867bdf78c5b32694c9ea844fc271b85c916a5,2026-09-12
BEL1,Oud-Heverlee Leuven,Marcel Van Dijck,1318286,REVIEW_REQUIRED,CLUB_CONFLICT,2727,52563,,2008-01-10,Belgien,,,https://www.transfermarkt.de/marcel-van-dijck/profil/spieler/1318286,135eb9b193b0d3ba31c85804fe5275762578e4e8b145f03987121aa96d72cf8c,https://www.transfermarkt.de/oud-heverlee-leuven/kader/verein/2727/saison_id/2026/plus/1,13369b1472ae4137934608499f3a290781d8b7a96223b8e0488ea6f56621495e,2026-09-12
BEL1,Oud-Heverlee Leuven,Viktor Damjanic,946964,HIGH_CONFIDENCE,,2727,2727,Viktor Damjanić,2005-11-03,Kroatien,,,https://www.transfermarkt.de/viktor-damjanic/profil/spieler/946964,44103bff85743ef630b92ac7603855af785b9a6cd3c0b9278ee0388af5c0bfb0,https://www.transfermarkt.de/oud-heverlee-leuven/kader/verein/2727/saison_id/2026/plus/1,13369b1472ae4137934608499f3a290781d8b7a96223b8e0488ea6f56621495e,2026-09-12
BEL1,Oud-Heverlee Leuven,Matteo Heremans,1211302,HIGH_CONFIDENCE,,2727,2727,,2006-01-08,Belgien,,,https://www.transfermarkt.de/matteo-heremans/profil/spieler/1211302,992d51f9e5521fa8a0ad096d973e2ae9eb52d600a8ad4e951d93ce82ca4dd650,https://www.transfermarkt.de/oud-heverlee-leuven/kader/verein/2727/saison_id/2026/plus/1,13369b1472ae4137934608499f3a290781d8b7a96223b8e0488ea6f56621495e,2026-09-12
BEL1,VV St. Truiden,Yanis Ngoy,1389531,HIGH_CONFIDENCE,,475,475,Nkima Yanis Ngoy,2008-08-24,Belgien DR Kongo,,,https://www.transfermarkt.de/yanis-ngoy/profil/spieler/1389531,dcd72a8a3a2c6eb50cc9971f4dd872325ec88aab2e57a91dfee12255156bea04,https://www.transfermarkt.de/vv-st-truiden/kader/verein/475/saison_id/2026/plus/1,c0e976a963b2c1507ec52e39bab62ae405f89e7c2149e5b8ecc88e56b4f6ff7a,2026-09-12
BEL1,VV St. Truiden,Shion Shinkawa,1153358,HIGH_CONFIDENCE,,475,475,新川 志音,2007-08-06,Japan,,,https://www.transfermarkt.de/shion-shinkawa/profil/spieler/1153358,bc580aeb52c778092300ea46eab8670e423ce11176b3684fe88417c19157910f,https://www.transfermarkt.de/vv-st-truiden/kader/verein/475/saison_id/2026/plus/1,c0e976a963b2c1507ec52e39bab62ae405f89e7c2149e5b8ecc88e56b4f6ff7a,2026-09-12
BEL1,Standard Lüttich,Noah Sy,1165890,HIGH_CONFIDENCE,,3057,3057,Noah Abdoulaye Sy,2007-03-25,Belgien,,,https://www.transfermarkt.de/noah-sy/profil/spieler/1165890,7ad1bdf62b8f38a3d720fa085a1840ee1e364d49f2a689f70d7b9c5ed4ce4800,https://www.transfermarkt.de/standard-luttich/kader/verein/3057/saison_id/2026/plus/1,35f665c792bd0def9bfa349286927e0ef54a862cb91b5e4ab6b8ec3356dfa834,2026-09-12
BEL1,Union Saint-Gilloise,Ondrej Kricfalusi,839551,HIGH_CONFIDENCE,,3948,3948,Ondřej Kričfaluši,2004-03-09,Tschechien,,,https://www.transfermarkt.de/ondrej-kricfalusi/profil/spieler/839551,ddff822ca38b5b072162f8b442ad5ae213100c1ecb6d17b00bcdc2c284d04d99,https://www.transfermarkt.de/union-saint-gilloise/kader/verein/3948/saison_id/2026/plus/1,6678f90f37564c9f8683b893f1bf4bed395816093e2ee4489ebbda3dc900e98e,2026-09-12
BEL1,KVC Westerlo,Jahnilo Wiegel-Triebel,1047424,HIGH_CONFIDENCE,,968,968,Jahnilo Davon Jahzeël Wiegel-Triebel,2005-03-13,Suriname Niederlande,,,https://www.transfermarkt.de/jahnilo-wiegel-triebel/profil/spieler/1047424,69ba41b494867d5c8c842654260cb8097acec4c8d681b77ce24d552a56c524d0,https://www.transfermarkt.de/kvc-westerlo/kader/verein/968/saison_id/2026/plus/1,4b321535def794641a57896ea3b395b11fb16964a25bb51fab6f75bf5e2a3382,2026-09-12
BEL1,KVC Westerlo,Pape Diong,1183575,HIGH_CONFIDENCE,,968,968,Pape Daouda Diong,2006-06-15,Senegal,,,https://www.transfermarkt.de/pape-diong/profil/spieler/1183575,ae33ffcfbb5bd696bf9e25d09abad262e5929e08da79d1c2a2a3f75984a85e7b,https://www.transfermarkt.de/kvc-westerlo/kader/verein/968/saison_id/2026/plus/1,4b321535def794641a57896ea3b395b11fb16964a25bb51fab6f75bf5e2a3382,2026-09-12
BEL1,KVC Westerlo,Philippe Bibout,1577556,HIGH_CONFIDENCE,,968,968,Philippe Didier Bibout,2008-06-01,Kamerun,,,https://www.transfermarkt.de/philippe-bibout/profil/spieler/1577556,103f3f667244b2bdb56b5f3805be2e931c0b51ca4604b4f2c0acb56ee364700a,https://www.transfermarkt.de/kvc-westerlo/kader/verein/968/saison_id/2026/plus/1,4b321535def794641a57896ea3b395b11fb16964a25bb51fab6f75bf5e2a3382,2026-09-12
BEL1,KVC Westerlo,Abdoulaye Koné,1467124,HIGH_CONFIDENCE,,968,968,,2006-02-01,Elfenbeinküste,,,https://www.transfermarkt.de/abdoulaye-kone/profil/spieler/1467124,eaf5d4dd6fc78df4dc3501f18a02a10b5c733770f1b91365129c1fbd08de0919,https://www.transfermarkt.de/kvc-westerlo/kader/verein/968/saison_id/2026/plus/1,4b321535def794641a57896ea3b395b11fb16964a25bb51fab6f75bf5e2a3382,2026-09-12
BEL1,Zulte Waregem,Florian Van Bever,1314653,HIGH_CONFIDENCE,,3508,3508,Florian Mory Van Bever,2007-10-02,Belgien,,,https://www.transfermarkt.de/florian-van-bever/profil/spieler/1314653,513e07e0e2c33c60b983adbe550978b4cd1a8d778be335af35677c8dea1d0887,https://www.transfermarkt.de/zulte-waregem/kader/verein/3508/saison_id/2026/plus/1,0acbb0eca1723445958969f80be44f59778e527ba0095de244c35e56e3b9068e,2026-09-12
BEL1,Zulte Waregem,Mouhamadou Sall,1507561,HIGH_CONFIDENCE,,3508,3508,Mouhamadou Yoro Sall,2007-10-21,Senegal,,,https://www.transfermarkt.de/mouhamadou-sall/profil/spieler/1507561,475f80c7ffb6b3c585765053fd43b35bbad380e1d60831782067a08b7f0740db,https://www.transfermarkt.de/zulte-waregem/kader/verein/3508/saison_id/2026/plus/1,0acbb0eca1723445958969f80be44f59778e527ba0095de244c35e56e3b9068e,2026-09-12
BEL1,Zulte Waregem,Marley Aké,682032,HIGH_CONFIDENCE,,3508,3508,Marley Martin Mickaël Justin Aké,2001-01-05,Frankreich Elfenbeinküste,,,https://www.transfermarkt.de/marley-ake/profil/spieler/682032,44052f998a2318c3170dd88048e412cc7f1ed538dddfa9e87ea9373b69fc19e6,https://www.transfermarkt.de/zulte-waregem/kader/verein/3508/saison_id/2026/plus/1,0acbb0eca1723445958969f80be44f59778e527ba0095de244c35e56e3b9068e,2026-09-12
BEL1,Zulte Waregem,Malick Mbaye,707063,HIGH_CONFIDENCE,,3508,3508,,2004-04-06,Senegal,,,https://www.transfermarkt.de/malick-mbaye/profil/spieler/707063,eaeb613fb82a9ef9bd017c7bcea26e729af86345093a3705058b472080f1b20e,https://www.transfermarkt.de/zulte-waregem/kader/verein/3508/saison_id/2026/plus/1,0acbb0eca1723445958969f80be44f59778e527ba0095de244c35e56e3b9068e,2026-09-12
