league,club,club_tm_id,player,player_tm_id,classification,fields,before,after,source,previous_source_sha256,current_source_sha256,confidence,note
POR1,SC Braga,1075,Víctor Gómez,495601,SOURCE_FIELDS_CHANGED,"[""contract_until""]","{""contract_until"": ""2028-06-30""}","{""contract_until"": ""2030-06-30""}",https://www.transfermarkt.de/sc-braga/kader/verein/1075/saison_id/2026/plus/1,156364df6ce57b4f7d7a1498602c8bbe4d6bac3e21a3c7245a5b41d7f564209d,a179610f71e6ea7b41b62a1d2448a6aa9ceac20ea3d9356ad08e919d3506e2a7,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
POR1,SC Braga,1075,João Trovisco,959049,NEW_SOURCE_ROW,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}","{""player"": ""João Trovisco"", ""dob"": ""2007-10-23"", ""position"": ""Offensives Mittelfeld"", ""shirt_number"": ""87"", ""joined"": """", ""contract_until"": ""2029-06-30"", ""change_notes"": ""[]""}",https://www.transfermarkt.de/sc-braga/kader/verein/1075/saison_id/2026/plus/1,,a179610f71e6ea7b41b62a1d2448a6aa9ceac20ea3d9356ad08e919d3506e2a7,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
FRA1,LOSC Lille,1082,Maxima Goffi,1306455,NEW_SOURCE_ROW,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}","{""player"": ""Maxima Goffi"", ""dob"": ""2008-01-23"", ""position"": ""Innenverteidiger"", ""shirt_number"": ""38"", ""joined"": ""2026-07-01"", ""contract_until"": ""2028-06-30"", ""change_notes"": ""[\""Interner Wechsel: LOSC Lille B; Datum: 01.07.2026\""]""}",https://www.transfermarkt.de/losc-lille/kader/verein/1082/saison_id/2026/plus/1,,c457b219cdc4b0b325e1ffc106944f12575f34ba418b01fe14ef82f00cc6a90d,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
NED1,AZ Alkmaar,1090,Hessel de Wit,1024701,SOURCE_FIELDS_CHANGED,"[""position""]","{""position"": ""Zentrales Mittelfeld""}","{""position"": ""Offensives Mittelfeld""}",https://www.transfermarkt.de/az-alkmaar/kader/verein/1090/saison_id/2026/plus/1,a920a838130f4ac1880e1835716a5b027bd8fc2f65f43ea0c84a400d5ea8af89,531b9d310986cca2d1532dd964ed898fe77b83822fbfe9489507e4f0bf4aefc5,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
FRA1,ESTAC Troyes,1095,Noah Donkor,1119840,NEW_SOURCE_ROW,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}","{""player"": ""Noah Donkor"", ""dob"": ""2006-11-25"", ""position"": ""Rechter Verteidiger"", ""shirt_number"": ""31"", ""joined"": ""2026-07-01"", ""contract_until"": ""2029-06-30"", ""change_notes"": ""[\""Interner Wechsel: ESTAC Troyes B; Datum: 01.07.2026\""]""}",https://www.transfermarkt.de/estac-troyes/kader/verein/1095/saison_id/2026/plus/1,,3de2a4a4e2246fa33a1e94b81459db264308feb0d186d61173bb4ee72e627faa,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
FRA1,ESTAC Troyes,1095,Christ Batola,1337539,NEW_SOURCE_ROW,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}","{""player"": ""Christ Batola"", ""dob"": ""2009-06-03"", ""position"": ""Mittelstürmer"", ""shirt_number"": ""37"", ""joined"": ""2026-07-01"", ""contract_until"": ""2029-06-30"", ""change_notes"": ""[\""Interner Wechsel: ESTAC Troyes B; Datum: 01.07.2026\""]""}",https://www.transfermarkt.de/estac-troyes/kader/verein/1095/saison_id/2026/plus/1,,3de2a4a4e2246fa33a1e94b81459db264308feb0d186d61173bb4ee72e627faa,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
FRA1,ESTAC Troyes,1095,Idrissa Soukouna,1364925,NEW_SOURCE_ROW,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}","{""player"": ""Idrissa Soukouna"", ""dob"": ""2008-08-10"", ""position"": ""Offensives Mittelfeld"", ""shirt_number"": ""36"", ""joined"": ""2026-08-10"", ""contract_until"": ""2029-06-30"", ""change_notes"": ""[\""Interner Wechsel: ESTAC Troyes U19; Datum: 10.08.2026\""]""}",https://www.transfermarkt.de/estac-troyes/kader/verein/1095/saison_id/2026/plus/1,,3de2a4a4e2246fa33a1e94b81459db264308feb0d186d61173bb4ee72e627faa,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
FRA1,ESTAC Troyes,1095,Yacouba Koné,1523861,NEW_SOURCE_ROW,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}","{""player"": ""Yacouba Koné"", ""dob"": ""2007-06-21"", ""position"": ""Mittelstürmer"", ""shirt_number"": ""39"", ""joined"": ""2026-08-10"", ""contract_until"": ""2029-06-30"", ""change_notes"": ""[\""Interner Wechsel: ESTAC Troyes U19; Datum: 10.08.2026\""]""}",https://www.transfermarkt.de/estac-troyes/kader/verein/1095/saison_id/2026/plus/1,,3de2a4a4e2246fa33a1e94b81459db264308feb0d186d61173bb4ee72e627faa,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
FRA1,ESTAC Troyes,1095,Tom Akpakoun,900037,ABSENT_FROM_NEW_SOURCE,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": ""Tom Akpakoun"", ""dob"": ""2005-04-22"", ""position"": ""Innenverteidiger"", ""shirt_number"": ""37"", ""joined"": ""2025-07-01"", ""contract_until"": """", ""change_notes"": ""[]""}","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}",https://www.transfermarkt.de/estac-troyes/kader/verein/1095/saison_id/2026/plus/1,07675e8b6d8d3abed9e81f7a02537525346a7eb5fcbd42af3e8dfcdce596e3e1,,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
BEL1,Royal Antwerpen FC,1096,Aaron Ibrahim,1135426,NEW_SOURCE_ROW,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}","{""player"": ""Aaron Ibrahim"", ""dob"": ""2008-08-02"", ""position"": ""Linker Verteidiger"", ""shirt_number"": ""46"", ""joined"": ""2026-07-01"", ""contract_until"": """", ""change_notes"": ""[\""Interner Wechsel: Royal Antwerpen FC U18; Datum: 01.07.2026\""]""}",https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
BEL1,Royal Antwerpen FC,1096,Bahmed Deuff,1176215,SOURCE_FIELDS_CHANGED,"[""shirt_number""]","{""shirt_number"": ""-""}","{""shirt_number"": ""6""}",https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,218e5e6149e247c14da903219ef1594990239cfda16202d834b04d27fc7909eb,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
BEL1,Royal Antwerpen FC,1096,Lowie Piselé,1191562,NEW_SOURCE_ROW,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}","{""player"": ""Lowie Piselé"", ""dob"": ""2009-09-17"", ""position"": ""Torwart"", ""shirt_number"": ""61"", ""joined"": ""2026-07-01"", ""contract_until"": ""2027-06-30"", ""change_notes"": ""[\""Interner Wechsel: Young Reds; Datum: 01.07.2026\""]""}",https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
FRA1,FC Le Mans,1164,João Almeida,1092429,SOURCE_FIELDS_CHANGED,"[""shirt_number""]","{""shirt_number"": ""-""}","{""shirt_number"": ""12""}",https://www.transfermarkt.de/fc-le-mans/kader/verein/1164/saison_id/2026/plus/1,bb73ebb093196f49d651d5d07113d643f793b6673c4ae6e75aa4b52df0281e2a,3a1590b4702d0adc2e4906566f51e78d043b0e625e92b825b4e3d1a572fd483c,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
BEL1,KRC Genk,1184,Emmanuel Sarfo,1318195,NEW_SOURCE_ROW,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}","{""player"": ""Emmanuel Sarfo"", ""dob"": ""2007-07-12"", ""position"": ""Rechter Verteidiger"", ""shirt_number"": ""84"", ""joined"": ""2026-07-01"", ""contract_until"": ""2027-06-30"", ""change_notes"": ""[\""Interner Wechsel: Jong Genk; Datum: 01.07.2026\""]""}",https://www.transfermarkt.de/krc-genk/kader/verein/1184/saison_id/2026/plus/1,,85979abe0c47d79971cc0cee642e1248d1cad9da00ea0a7a7add7591bfc915c0,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
BEL1,KRC Genk,1184,Hendrik Van Crombrugge,137326,SOURCE_FIELDS_CHANGED,"[""shirt_number""]","{""shirt_number"": ""1""}","{""shirt_number"": ""-""}",https://www.transfermarkt.de/krc-genk/kader/verein/1184/saison_id/2026/plus/1,d609cf280b02ef5f5c28d4aa048b4382afa8165f5c1f20b61bbc303298180d06,85979abe0c47d79971cc0cee642e1248d1cad9da00ea0a7a7add7591bfc915c0,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
TUR1,Caykur Rizespor,126,Can Bozdogan,406609,SOURCE_FIELDS_CHANGED,"[""shirt_number""]","{""shirt_number"": ""-""}","{""shirt_number"": ""70""}",https://www.transfermarkt.de/caykur-rizespor/kader/verein/126/saison_id/2026/plus/1,df02f1018547ec5c059bd3803326467dea1f3f406bdacd963ccb4394c9214aab,61fa6e9a84b4e36b36da70c3e8971eaf7870792667b136d236163fc072296fda,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
TUR1,Caykur Rizespor,126,Gennaro Borrelli,459988,SOURCE_FIELDS_CHANGED,"[""shirt_number""]","{""shirt_number"": ""-""}","{""shirt_number"": ""29""}",https://www.transfermarkt.de/caykur-rizespor/kader/verein/126/saison_id/2026/plus/1,df02f1018547ec5c059bd3803326467dea1f3f406bdacd963ccb4394c9214aab,61fa6e9a84b4e36b36da70c3e8971eaf7870792667b136d236163fc072296fda,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
POR1,CS Marítimo,1301,Pedro Teixeira,698454,ABSENT_FROM_NEW_SOURCE,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": ""Pedro Teixeira"", ""dob"": ""2001-11-20"", ""position"": ""Torwart"", ""shirt_number"": ""22"", ""joined"": ""2025-07-01"", ""contract_until"": ""2027-06-30"", ""change_notes"": ""[\""Rückkehr nach Leihe von: UD Santarém; Datum: 30.06.2026; Ablöse: Leih-Ende\""]""}","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}",https://www.transfermarkt.de/cs-maritimo/kader/verein/1301/saison_id/2026/plus/1,412361df6a481c5790f569eff14a805d80169cf6e9ce5cef651ee18146e70a7c,,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
ESP1,FC Barcelona,131,Hamza Abdelkarim,1259085,SOURCE_FIELDS_CHANGED,"[""contract_until""]","{""contract_until"": ""2029-06-30""}","{""contract_until"": ""2030-06-30""}",https://www.transfermarkt.de/fc-barcelona/kader/verein/131/saison_id/2026/plus/1,4ad182d03bdd85bf9f9c4b168bc809496518f165fb8f1078d5c65a6e08f0b59b,48995ede060e2f10268fd330cd92886372ac077da45713b1cc6976bb8188de77,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
ITA1,Cagliari Calcio,1390,Yukinari Sugawara,405385,SOURCE_FIELDS_CHANGED,"[""shirt_number""]","{""shirt_number"": ""-""}","{""shirt_number"": ""28""}",https://www.transfermarkt.de/cagliari-calcio/kader/verein/1390/saison_id/2026/plus/1,572323eb9549b5520695b355ceb51af41461617a0d4a379ef99bd96a4951d162,4d01f720bf6b2fb484bfc759a9f95eef9ef2c8d8f167551e1c287b989aa09415,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
TUR1,Galatasaray,141,Berat Luş,1076981,SOURCE_FIELDS_CHANGED,"[""shirt_number""]","{""shirt_number"": ""76""}","{""shirt_number"": ""73""}",https://www.transfermarkt.de/galatasaray/kader/verein/141/saison_id/2026/plus/1,ff9216a47b1ad5ea5d317343be02bc361d48a86845ac91d72d1788160adec282,66f1195fdd6d32bc947bb726ca4925adf5e39b928cebbb291569108f880a8f16,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
NED1,SC Telstar,1434,Nökkvi Thórisson,381349,SOURCE_FIELDS_CHANGED,"[""shirt_number""]","{""shirt_number"": ""-""}","{""shirt_number"": ""11""}",https://www.transfermarkt.de/sc-telstar/kader/verein/1434/saison_id/2026/plus/1,6f4e3c881270a33edafbae79b2342852b051fb4e4524b78f516197c6953d97f6,ae77e5dfbed0657e8ac7db9c5bfa54cdae9a9aa41389f9224cb5b1406e993f05,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
NED1,SC Telstar,1434,Ar'jany Martha,572519,SOURCE_FIELDS_CHANGED,"[""shirt_number""]","{""shirt_number"": ""-""}","{""shirt_number"": ""42""}",https://www.transfermarkt.de/sc-telstar/kader/verein/1434/saison_id/2026/plus/1,6f4e3c881270a33edafbae79b2342852b051fb4e4524b78f516197c6953d97f6,ae77e5dfbed0657e8ac7db9c5bfa54cdae9a9aa41389f9224cb5b1406e993f05,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
NED1,Go Ahead Eagles Deventer,1435,Terence Lantveld,1106645,NEW_SOURCE_ROW,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}","{""player"": ""Terence Lantveld"", ""dob"": ""2006-12-29"", ""position"": ""Linker Verteidiger"", ""shirt_number"": ""35"", ""joined"": ""2026-07-01"", ""contract_until"": ""2028-06-30"", ""change_notes"": ""[\""Interner Wechsel: Go Ahead Eagles Deventer U21; Datum: 01.07.2026\""]""}",https://www.transfermarkt.de/go-ahead-eagles-deventer/kader/verein/1435/saison_id/2026/plus/1,,9dde8a1e8b910be129c1938f1ab5cb614c94aaafe9ae1f3969e144108e3149a1,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
NED1,Go Ahead Eagles Deventer,1435,Dani Tijman,1309041,NEW_SOURCE_ROW,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}","{""player"": ""Dani Tijman"", ""dob"": ""2006-06-13"", ""position"": ""Innenverteidiger"", ""shirt_number"": ""31"", ""joined"": ""2026-07-01"", ""contract_until"": ""2028-06-30"", ""change_notes"": ""[\""Interner Wechsel: Go Ahead Eagles Deventer U21; Datum: 01.07.2026\""]""}",https://www.transfermarkt.de/go-ahead-eagles-deventer/kader/verein/1435/saison_id/2026/plus/1,,9dde8a1e8b910be129c1938f1ab5cb614c94aaafe9ae1f3969e144108e3149a1,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
NED1,Go Ahead Eagles Deventer,1435,Thomas Hulleman,1313181,NEW_SOURCE_ROW,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}","{""player"": ""Thomas Hulleman"", ""dob"": ""2009-12-25"", ""position"": ""Torwart"", ""shirt_number"": ""30"", ""joined"": ""2026-07-01"", ""contract_until"": ""2029-06-30"", ""change_notes"": ""[\""Interner Wechsel: Go Ahead Eagles Deventer U17; Datum: 01.07.2026\""]""}",https://www.transfermarkt.de/go-ahead-eagles-deventer/kader/verein/1435/saison_id/2026/plus/1,,9dde8a1e8b910be129c1938f1ab5cb614c94aaafe9ae1f3969e144108e3149a1,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
POR1,GD Estoril Praia,1465,Gonçalo Costa,383014,ABSENT_FROM_NEW_SOURCE,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": ""Gonçalo Costa"", ""dob"": ""2000-02-18"", ""position"": ""Linker Verteidiger"", ""shirt_number"": ""18"", ""joined"": ""2024-07-31"", ""contract_until"": ""2028-06-30"", ""change_notes"": ""[]""}","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}",https://www.transfermarkt.de/gd-estoril-praia/kader/verein/1465/saison_id/2026/plus/1,a6c0e1aa55dfd8f24789ccb8411715a61d2d5f84e965ad85a2cf07d0d424f74a,,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
POR1,GD Estoril Praia,1465,Xavi Sintes,569876,SOURCE_FIELDS_CHANGED,"[""shirt_number""]","{""shirt_number"": ""-""}","{""shirt_number"": ""6""}",https://www.transfermarkt.de/gd-estoril-praia/kader/verein/1465/saison_id/2026/plus/1,a6c0e1aa55dfd8f24789ccb8411715a61d2d5f84e965ad85a2cf07d0d424f74a,1f4451857a09faf4bc5a12d1790c126a29e1c7346930e118c1c73d3f15c8f2d8,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
POR1,GD Estoril Praia,1465,Roko Jurisic,570721,SOURCE_FIELDS_CHANGED,"[""shirt_number""]","{""shirt_number"": ""-""}","{""shirt_number"": ""21""}",https://www.transfermarkt.de/gd-estoril-praia/kader/verein/1465/saison_id/2026/plus/1,a6c0e1aa55dfd8f24789ccb8411715a61d2d5f84e965ad85a2cf07d0d424f74a,1f4451857a09faf4bc5a12d1790c126a29e1c7346930e118c1c73d3f15c8f2d8,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
POR1,GD Estoril Praia,1465,Stelios Andreou,613964,SOURCE_FIELDS_CHANGED,"[""shirt_number""]","{""shirt_number"": ""-""}","{""shirt_number"": ""25""}",https://www.transfermarkt.de/gd-estoril-praia/kader/verein/1465/saison_id/2026/plus/1,a6c0e1aa55dfd8f24789ccb8411715a61d2d5f84e965ad85a2cf07d0d424f74a,1f4451857a09faf4bc5a12d1790c126a29e1c7346930e118c1c73d3f15c8f2d8,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
POR1,GD Estoril Praia,1465,Israel Salazar,634430,SOURCE_FIELDS_CHANGED,"[""shirt_number""]","{""shirt_number"": ""-""}","{""shirt_number"": ""38""}",https://www.transfermarkt.de/gd-estoril-praia/kader/verein/1465/saison_id/2026/plus/1,a6c0e1aa55dfd8f24789ccb8411715a61d2d5f84e965ad85a2cf07d0d424f74a,1f4451857a09faf4bc5a12d1790c126a29e1c7346930e118c1c73d3f15c8f2d8,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
POR1,GD Estoril Praia,1465,Khayon Edwards,741650,ABSENT_FROM_NEW_SOURCE,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": ""Khayon Edwards"", ""dob"": ""2003-09-12"", ""position"": ""Mittelstürmer"", ""shirt_number"": ""11"", ""joined"": ""2025-07-04"", ""contract_until"": ""2028-06-30"", ""change_notes"": ""[]""}","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}",https://www.transfermarkt.de/gd-estoril-praia/kader/verein/1465/saison_id/2026/plus/1,a6c0e1aa55dfd8f24789ccb8411715a61d2d5f84e965ad85a2cf07d0d424f74a,,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
