league,club_name,club_tm_id,player_tm_id,player,dob,nationality,native_country_id,position,club_id,contract_joined,contract_until,shirt_number,fifa_id,id_strategy,source_urls,source_hashes,confidence,zero_duplicate_proof,eligibility
BEL1,Lommel SK,5026,858324,Ђорђе Гордић,2004-11-05,Serbien,,Mittelfeld - Zentrales Mittelfeld,458783,2023-01-03,2027-06-30,22,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/djordje-gordic/profil/spieler/858324"", ""https://www.transfermarkt.de/lommel-sk/kader/verein/5026/saison_id/2026/plus/1""]","[""45736d88af2b5f6c84b7fbbfaa86ea72f3533997b4d157708a9f14b8711f706f"", ""9ff756a9f65fb1a83d753e141d2c89530fd8a9311bba2096f5846c718c381d8a""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Djordje Gordic"",""Ђорђе Гордић""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
BEL1,KVC Westerlo,968,1467124,Abdoulaye Koné,2006-02-01,Elfenbeinküste,,Sturm - Mittelstürmer,458763,2026-09-02,2030-06-30,25,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/abdoulaye-kone/profil/spieler/1467124"", ""https://www.transfermarkt.de/kvc-westerlo/kader/verein/968/saison_id/2026/plus/1""]","[""eaf5d4dd6fc78df4dc3501f18a02a10b5c733770f1b91365129c1fbd08de0919"", ""4b321535def794641a57896ea3b395b11fb16964a25bb51fab6f75bf5e2a3382""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Abdoulaye Koné""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
CZE1,FK Pardubice,1496,1013809,Jiří Zima,2007-12-21,Tschechien,,Mittelfeld - Offensives Mittelfeld,790538,2026-01-01,2028-06-30,11,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/jiri-zima/profil/spieler/1013809"", ""https://www.transfermarkt.de/fk-pardubice/kader/verein/1496/saison_id/2026/plus/1""]","[""1bad1aecc0f2c4585928e17be1969f2ca10fec44513a706a08f4f835fd501028"", ""ff994ed3554101d4e2a5377d206e013ac142ca4f73f68a0c406e2cc0d305e0ef""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Jiri Zima"",""Jiří Zima""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
CZE1,FK Pardubice,1496,1381202,Victor Elem Samuel,2006-06-29,Nigeria,,Sturm - Mittelstürmer,790538,2026-01-01,2029-12-31,35,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/victor-samuel/profil/spieler/1381202"", ""https://www.transfermarkt.de/fk-pardubice/kader/verein/1496/saison_id/2026/plus/1""]","[""06106210ad87e68c9232bbc6514c7249217e6eac184b138c29cdf34d0fca0b96"", ""ff994ed3554101d4e2a5377d206e013ac142ca4f73f68a0c406e2cc0d305e0ef""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Victor Samuel"",""Victor Elem Samuel""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
CZE1,FC Banik Ostrau,377,1052374,Скиба Євгеній Володимирович,2003-03-25,Ukraine,,Abwehr - Innenverteidiger,786446,2026-07-14,2029-06-30,44,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/yevgeniy-skyba/profil/spieler/1052374"", ""https://www.transfermarkt.de/fc-banik-ostrau/kader/verein/377/saison_id/2026/plus/1""]","[""e20940a39060e2fac9edd7d599a088d929316c07b6b416a655df17697a0d7d2e"", ""3717000ca143110b9cff7bc66843b5e54104cdaa75d0e196220c4e77c8b4d611""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Yevgeniy Skyba"",""Скиба Євгеній Володимирович""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
CZE1,FC Banik Ostrau,377,726014,Дячук Максим Ростиславович,2003-07-21,Ukraine,,Abwehr - Innenverteidiger,786446,2026-07-10,2027-06-30,16,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/maksym-dyachuk/profil/spieler/726014"", ""https://www.transfermarkt.de/fc-banik-ostrau/kader/verein/377/saison_id/2026/plus/1""]","[""e9bd243126b449ba3bfe8a5dee044f51895766951da6d57cb53fedb88ec7e183"", ""3717000ca143110b9cff7bc66843b5e54104cdaa75d0e196220c4e77c8b4d611""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Maksym Dyachuk"",""Дячук Максим Ростиславович""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
CZE1,1.FC Slovacko,5544,1372149,Gibril Sosseh,2007-01-01,Gambia,,Mittelfeld - Zentrales Mittelfeld,786461,2026-07-31,2027-06-30,16,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/gibril-sosseh/profil/spieler/1372149"", ""https://www.transfermarkt.de/1-fc-slovacko/kader/verein/5544/saison_id/2026/plus/1""]","[""974f3a7d623eaed2a984bc1e8363f922e8fb7eafc791c45aafd902f36aa04c03"", ""42dab36a10cfd13d442ece1bb7499f652fac54d38b8eba2248452673a53bcacf""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Gibril Sosseh""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
CZE1,Bohemians Prag 1905,715,1237999,Обінайя Самуель Стівович,2005-08-28,Ukraine,,Mittelfeld - Zentrales Mittelfeld,786453,2026-08-21,2027-06-30,,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/samuel-obinaya/profil/spieler/1237999"", ""https://www.transfermarkt.de/bohemians-prag-1905/kader/verein/715/saison_id/2026/plus/1""]","[""cd866ee2530870c1f2c50fb07113fbad78453adb83db5dabd36cb9c927feb028"", ""ebdb6624691ca6718b5ca6df413da8f706167c604575caed018b5bb2940716cb""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Samuel Obinaya"",""Обінайя Самуель Стівович""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
CZE1,Bohemians Prag 1905,715,975321,Mohamed Yasser Nour,2001-05-05,Ägypten,,Sturm - Mittelstürmer,786453,2026-09-01,2029-06-30,,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/mohamed-yasser/profil/spieler/975321"", ""https://www.transfermarkt.de/bohemians-prag-1905/kader/verein/715/saison_id/2026/plus/1""]","[""4fb4d574fb4d8a7bbb8eec8ade97b3788a0dfba9b105db2f8af4f0eac624fe80"", ""ebdb6624691ca6718b5ca6df413da8f706167c604575caed018b5bb2940716cb""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Mohamed Yasser"",""Mohamed Yasser Nour""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
ESP1,Deportivo Alavés,1108,175446,Jonathan Castro Otto,1994-03-03,Spanien,,Abwehr - Rechter Verteidiger,2949141,2025-07-02,2027-06-30,17,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/jonny-otto/profil/spieler/175446"", ""https://www.transfermarkt.de/deportivo-alaves/kader/verein/1108/saison_id/2026/plus/1""]","[""8167a0072d69e483a108dfab62f9863d488149abcac44f5f6687ae4234f949e4"", ""06d4598c609cd72aa3bf8bb397dd9ae34b37f736115a6b54149329247d4b6814""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Jonny Otto"",""Jonathan Castro Otto""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
ESP1,FC Sevilla,368,639733,Gerard Fernández Castellano,2002-10-04,Spanien,,Sturm - Hängende Spitze,2949138,2024-07-11,2028-06-30,10,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/peque-fernandez/profil/spieler/639733"", ""https://www.transfermarkt.de/fc-sevilla/kader/verein/368/saison_id/2026/plus/1""]","[""513c83051ef53a9c560c9d798d0bb01638d70e40200239327d9a9c918c0461dc"", ""3d82cb81b17e3c88b8c27f6603b222e965a349dcb68187b46e8ce65da5194abd""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Peque Fernández"",""Gerard Fernández Castellano""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
FRA1,ESTAC Troyes,1095,1523861,Yacouba Koné,2007-06-21,Elfenbeinküste,,Sturm - Mittelstürmer,1179683,2026-08-10,2029-06-30,39,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/yacouba-kone/profil/spieler/1523861"", ""https://www.transfermarkt.de/estac-troyes/kader/verein/1095/saison_id/2026/plus/1""]","[""6998e422c4a7fc1c8c302e0b08f793f5827df38d00cd2c512121aa9c62242cba"", ""3de2a4a4e2246fa33a1e94b81459db264308feb0d186d61173bb4ee72e627faa""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Yacouba Koné""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
FRA1,Stade Brest 29,3911,272619,Romain Cagnon,1997-05-12,Frankreich,,Torwart,1179685,2026-08-19,2027-06-30,49,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/romain-cagnon/profil/spieler/272619"", ""https://www.transfermarkt.de/stade-brest-29/kader/verein/3911/saison_id/2026/plus/1""]","[""dd5a290c2ea07eebda93410295d4966a56c232a72a55a3218f14ee4b4ef3b29e"", ""52be2d44f637f0ec7c544f95926b9d75ac6bce6bd86bfa9e4cb57ec3bf957bda""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Romain Cagnon""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
FRA1,Paris Saint-Germain,583,872171,Lucas Lopes Beraldo,2003-11-24,Brasilien,,Abwehr - Innenverteidiger,1179663,2024-01-01,2031-06-30,4,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/lucas-beraldo/profil/spieler/872171"", ""https://www.transfermarkt.de/paris-saint-germain/kader/verein/583/saison_id/2026/plus/1""]","[""544f3ca55d752562651e7c5c96c52eb428b87d5bdc84fed376fc2a3ef5612928"", ""2452d2a339d5db63bfbc01cd73c713435dedf75dc1ae9d023fcd82491e789d9d""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Lucas Beraldo"",""Lucas Lopes Beraldo""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
ITA1,AS Rom,12,669380,Κωνσταντίνος Κουλιεράκης,2003-11-28,Griechenland,,Abwehr - Innenverteidiger,1769476,2026-08-01,2031-06-30,3,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/konstantinos-koulierakis/profil/spieler/669380"", ""https://www.transfermarkt.de/as-rom/kader/verein/12/saison_id/2026/plus/1""]","[""24b70e8cbf6f8eba06502e6c9f5dcafae2a2df99cc7e2d4ca2dc39d9c6feda87"", ""f55f6808f1a16dc4af758e70a1b7cf576328d127813e2802fab9a8bca29de9ab""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Konstantinos Koulierakis"",""Κωνσταντίνος Κουλιεράκης""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
ITA1,Cagliari Calcio,1390,1078164,Ademide Oreoluwa Abdulganiyu Ibuknoluwa Olamilekan Oluwajuedalo Ayomide Ishola Akarakiri,2007-09-29,England Nigeria,,Mittelfeld - Zentrales Mittelfeld,1769480,2026-07-03,2030-06-30,30,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/demi-akarakiri/profil/spieler/1078164"", ""https://www.transfermarkt.de/cagliari-calcio/kader/verein/1390/saison_id/2026/plus/1""]","[""7f01d1a4ae684ea32f49d96b1581eb93a87e86ea7d8504165781a066308336bd"", ""4d01f720bf6b2fb484bfc759a9f95eef9ef2c8d8f167551e1c287b989aa09415""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Demi Akarakiri"",""Ademide Oreoluwa Abdulganiyu Ibuknoluwa Olamilekan Oluwajuedalo Ayomide Ishola Akarakiri""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
