fm_id,fifa_id,dob,old_club_id,new_club_id,joined,contract_until,shirt_number,team_type,status,source,source_sha256,snapshot_date,loan_owner_club_id,loan_end,action,previous_loan_owner_club_id,previous_loan_start,previous_loan_end,previous_loan_buy_option,acquisition_seller_club_id,acquisition_event_key,acquisition_date,acquisition_source,acquisition_source_sha256,protected_condition_type,protected_condition_param0,protected_condition_param1,protected_condition_param2,protected_condition_param3,protected_condition_param4
11320,73579,2003-03-04,786434,786450,2026-07-03,2030-06-30,98,FIRST,CONFIRMED,https://www.transfermarkt.de/filip-prebsl/profil/spieler/728635,ae35241551f15a1fe18280d24ae8541bc456594d6c3751176403996bcd0202a7,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,786441,2025-07-01,2026-06-30,-1,0,6400903,,,,,,,,,
11321,0,1994-04-26,786434,790564,2018-07-01,2026-06-30,11,FIRST,CONFIRMED,https://www.transfermarkt.de/sk-artis-brunn/kader/verein/24325/saison_id/2026/plus/1,587a867b1b6398028de49094330bc2934f1e7245d3ee79f2003e9ffe6410ac9f,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
11324,0,2004-02-26,786434,786442,2022-07-01,2026-06-30,9,FIRST,CONFIRMED,https://www.transfermarkt.de/ac-sparta-prag/kader/verein/197/saison_id/2026/plus/1,6b74c895ae1857517e5325904312eb2643155a1ddb4be2ba7e884a9840dcea35,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
11407,0,2002-09-23,786461,790564,2018-07-01,2029-06-30,31,FIRST,CONFIRMED,https://www.transfermarkt.de/sk-artis-brunn/kader/verein/24325/saison_id/2026/plus/1,587a867b1b6398028de49094330bc2934f1e7245d3ee79f2003e9ffe6410ac9f,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
11473,0,2003-03-21,790532,790538,2025-07-01,2026-06-30,22,FIRST,CONFIRMED,https://www.transfermarkt.de/fk-pardubice/kader/verein/1496/saison_id/2026/plus/1,ff994ed3554101d4e2a5377d206e013ac142ca4f73f68a0c406e2cc0d305e0ef,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
11479,0,2005-01-21,790532,786447,2025-07-01,2026-06-30,4,FIRST,CONFIRMED,https://www.transfermarkt.de/fc-zbrojovka-brunn/kader/verein/5225/saison_id/2026/plus/1,1aeecf841a85ad9d35469b9ba37af49f38aee1b2e160fdd7ebc2df04f3863d83,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
11498,0,2005-01-04,790532,786461,2019-07-01,2026-06-30,3,RESERVE,CONFIRMED,https://www.transfermarkt.de/1-fc-slovacko/kader/verein/5544/saison_id/2026/plus/1,42dab36a10cfd13d442ece1bb7499f652fac54d38b8eba2248452673a53bcacf,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
11503,0,2004-07-13,790532,786441,2025-07-01,2026-06-30,2,RESERVE,CONFIRMED,https://www.transfermarkt.de/sk-slavia-prag/kader/verein/62/saison_id/2026/plus/1,ab5b3ad613592069fe87ed798140f18d5a2969fea81a54ddd36b6738aad74f72,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
11562,0,1998-02-15,790538,790564,2024-07-01,2026-06-30,4,FIRST,CONFIRMED,https://www.transfermarkt.de/sk-artis-brunn/kader/verein/24325/saison_id/2026/plus/1,587a867b1b6398028de49094330bc2934f1e7245d3ee79f2003e9ffe6410ac9f,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
11574,0,2005-06-23,790538,786446,2024-07-01,2029-06-30,16,FIRST,CONFIRMED,https://www.transfermarkt.de/fc-banik-ostrau/kader/verein/377/saison_id/2026/plus/1,3717000ca143110b9cff7bc66843b5e54104cdaa75d0e196220c4e77c8b4d611,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,786441,2025-07-01,2026-06-30,-1,0,,,,,,,,,,
11577,0,2004-08-21,790538,786438,2023-07-01,2029-06-30,15,FIRST,CONFIRMED,https://www.transfermarkt.de/milan-lexa/profil/spieler/1100641,97dd083257341becac1228f8268329fac711ffe5ff0f177588889eab08df687e,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,786438,2025-07-01,2026-06-30,-1,0,,,,,,,,,,
11730,0,2005-10-11,790549,786434,2020-07-01,2027-06-30,70,FIRST,CONFIRMED,https://www.transfermarkt.de/fk-mlada-boleslav/kader/verein/5546/saison_id/2026/plus/1,5a8600e42926651e56482ac4dac8c6e5e0e3e1754eacf142566e811f0e9bca53,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,786434,2025-07-01,2026-06-30,-1,0,,,,,,,,,,
11850,0,2005-11-29,786447,786447,2024-07-01,2029-06-30,78,RESERVE,CONFIRMED,https://www.transfermarkt.de/fc-zbrojovka-brunn/kader/verein/5225/saison_id/2026/plus/1,1aeecf841a85ad9d35469b9ba37af49f38aee1b2e160fdd7ebc2df04f3863d83,2026-09-12,0,,SQUAD,0,,,0,0,,,,,,,,,,
11915,0,2004-12-18,790564,786441,2026-01-16,2030-06-30,12,FIRST,CONFIRMED,https://www.transfermarkt.de/hamidou-kante/profil/spieler/1379813,81fc5ae181f40c2d184d8637fd288a99c3b3e8a25ff8a640207db0faa2b271ce,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,1847354,2025-07-01,2026-06-30,-1,0,6149907,,,,,,,,,
11949,0,1999-08-20,786454,790564,2023-07-01,2026-06-30,14,FIRST,CONFIRMED,https://www.transfermarkt.de/sk-artis-brunn/kader/verein/24325/saison_id/2026/plus/1,587a867b1b6398028de49094330bc2934f1e7245d3ee79f2003e9ffe6410ac9f,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
12221,0,2002-08-26,790563,786447,2025-07-01,2026-06-30,77,FIRST,CONFIRMED,https://www.transfermarkt.de/fc-zbrojovka-brunn/kader/verein/5225/saison_id/2026/plus/1,1aeecf841a85ad9d35469b9ba37af49f38aee1b2e160fdd7ebc2df04f3863d83,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
12227,0,2006-02-17,790563,786447,2024-07-01,2027-06-30,7,FIRST,CONFIRMED,https://www.transfermarkt.de/fc-zbrojovka-brunn/kader/verein/5225/saison_id/2026/plus/1,1aeecf841a85ad9d35469b9ba37af49f38aee1b2e160fdd7ebc2df04f3863d83,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,786447,2025-07-01,2026-06-30,-1,0,,,,,,,,,,
12466,0,2004-09-22,790599,786453,2025-07-01,2026-06-30,6,FIRST,CONFIRMED,https://www.transfermarkt.de/bohemians-prag-1905/kader/verein/715/saison_id/2026/plus/1,ebdb6624691ca6718b5ca6df413da8f706167c604575caed018b5bb2940716cb,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
15607,183108,1987-03-31,8454145,2228241,2025-07-01,2026-06-30,11,FIRST,CONFIRMED,https://www.transfermarkt.de/fc-utrecht/kader/verein/200/saison_id/2026/plus/1,30172180fe0b90bafc4f2d8225a407eb91445c75b04c67bdb0bfe6d096d2e552,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
15944,0,2006-01-25,8466434,2490393,2024-07-01,2029-06-30,35,RESERVE,CONFIRMED,https://www.transfermarkt.de/fc-alverca/kader/verein/2521/saison_id/2026/plus/1,7f5d01cde12ec5554a0cdae5ccc699031abd54d7e473e99ebf2c44e9a519b8ae,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
16802,251323,2001-09-25,856113,1376539,2026-07-01,2028-06-30,30,FIRST,CONFIRMED,https://www.transfermarkt.de/tsv-havelse/kader/verein/476/saison_id/2026/plus/1,b4490298444b6e31458c6e927b4ab3fff5378977e083c471be7a43b9938c0f59,2026-09-12,856113,2027-06-30,SQUAD,0,,,0,0,,,,,,,,,,
22792,0,2007-10-16,8917251,1179667,2021-07-01,2026-06-30,14,FIRST,CONFIRMED,https://www.transfermarkt.de/racing-strassburg/kader/verein/667/saison_id/2026/plus/1,fccce58645fe78054a145422d6552e5063a2af42aa0162b26c1d373f842bfa0c,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
23312,238616,2000-03-09,917513,917513,2024-08-11,2032-06-30,7,FIRST,CONFIRMED,https://www.transfermarkt.de/fc-chelsea/kader/verein/631/saison_id/2026/plus/1,654f4cd4c0ce8c73da8a919c8a23c05e00fc473650df3999c3441d42c128ae64,2026-09-12,0,,SQUAD,0,,,0,0,,,,,,,,,,
23316,246340,2001-01-05,917513,917514,2026-09-01,2031-06-30,27,FIRST,CONFIRMED,https://www.transfermarkt.de/mykhaylo-mudryk/profil/spieler/537860,0b2b72c6b009136d2ed50d6cbf01e436297919590047c6bb538c772b68ebbf07,2026-09-12,917513,2027-06-30,PRESERVE_PROTECTED_SQUAD,0,,,0,0,,,,,7,0,2461223,0,0,0
23491,236499,1998-05-09,917549,1769482,2024-07-01,2029-06-30,12,FIRST,CONFIRMED,https://www.transfermarkt.de/douglas-luiz/profil/spieler/447661,c6783f6abd56294316fb31e9fa4db966c3a9ede20d203e25b1fa6ba92d665ed9,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,1769482,2025-07-01,2026-06-30,-1,0,6148452,,,,,,,,,
23579,272612,2004-05-31,917529,1376555,2024-07-01,2028-06-30,8,FIRST,CONFIRMED,https://www.transfermarkt.de/rb-leipzig/kader/verein/23826/saison_id/2026/plus/1,97283d90f2a9e564bd064da4fa47fa71d7ad3661db6e1e1a6f768776682c54ff,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
23756,246763,2002-01-18,917547,786442,2020-07-01,2026-06-30,26,FIRST,CONFIRMED,https://www.transfermarkt.de/ac-sparta-prag/kader/verein/197/saison_id/2026/plus/1,6b74c895ae1857517e5325904312eb2643155a1ddb4be2ba7e884a9840dcea35,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
23757,258911,2000-11-23,917547,2228227,2026-07-01,2029-06-30,14,FIRST,CONFIRMED,https://www.transfermarkt.de/ajax-amsterdam/kader/verein/610/saison_id/2026/plus/1,f5e17e90fd0fa7a2962da880b80d3f5be8fc736c45ff9203a638be8e951725f8,2026-09-12,917547,2027-06-30,SQUAD,0,,,0,0,,,,,,,,,,
24129,250816,2001-01-09,917555,917538,2022-07-01,2026-06-30,11,FIRST,CONFIRMED,https://www.transfermarkt.de/ipswich-town/kader/verein/677/saison_id/2026/plus/1,27c77a20084b00ebf1368072929c14c023348a25975bceca8389e69766b037af,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
24144,277746,2004-11-21,917555,1376406,2022-07-01,2026-06-30,3,RESERVE,CONFIRMED,https://www.transfermarkt.de/sc-verl/kader/verein/93/saison_id/2026/plus/1,bd69b9b6c3fd17e062c0bf50a17563b42a98d2c42534eeab1330ee7efa38071a,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
24272,70841,2005-11-18,917565,917529,2024-07-12,2029-06-30,35,FIRST,CONFIRMED,https://www.transfermarkt.de/malick-yalcouye/profil/spieler/1178758,cb2ba0eeb85806ed01672f7e8ff87ecd43abfaa06136be5260d485360fd7cf50,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,917529,2025-07-01,2026-06-30,-1,0,,,,,,,,,,
24352,273599,2007-03-16,917527,917519,2025-01-01,2027-06-30,41,FIRST,CONFIRMED,https://www.transfermarkt.de/harry-amass/profil/spieler/1011738,318171f417d1646e0fe819e07b336d8e6c2e168e952029a3c4d08f90b3dcc599,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,917519,2025-07-01,2026-06-30,-1,0,6141118,,,,,,,,,
24410,74413,2007-01-19,917540,917517,2024-07-01,2028-06-30,45,FIRST,CONFIRMED,https://www.transfermarkt.de/harrison-armstrong/profil/spieler/1107733,591127404811793b94acf4c4da06f4e15247b2010ad8fe7f48e41e4f09a196c9,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,917517,2025-07-01,2026-06-30,-1,0,,,,,,,,,,
24555,267476,2003-11-14,917578,458755,2026-08-17,2030-06-30,45,FIRST,CONFIRMED,https://www.transfermarkt.de/tayo-adaramola/profil/spieler/724529,0a727d645abe92d79ebbd4a27a2332e3db205675d20e9dffe904ba804c3de66c,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,917535,2025-07-01,2026-06-30,-1,0,6510906,,,,,,,,,
36543,0,2006-10-10,9175042,458761,2025-07-01,2026-06-30,21,FIRST,CONFIRMED,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
41584,0,2005-08-06,9637891,786453,2023-07-01,2025-06-30,19,FIRST,CONFIRMED,https://www.transfermarkt.de/bohemians-prag-1905/kader/verein/715/saison_id/2026/plus/1,ebdb6624691ca6718b5ca6df413da8f706167c604575caed018b5bb2940716cb,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
43127,0,2007-01-10,987138,786443,2026-09-08,2027-06-30,30,FIRST,CONFIRMED,https://www.transfermarkt.de/fk-teplice/kader/verein/814/saison_id/2026/plus/1,d56a4f10e63ee591f34d8043653f8dec1ff43e812697defcdc04274a50cee948,2026-09-12,0,,SQUAD,0,,,0,0,,,,,,,,,,
55395,0,1999-01-10,10682387,1376425,2024-07-01,2026-06-30,20,FIRST,CONFIRMED,https://www.transfermarkt.de/fc-st-pauli/kader/verein/35/saison_id/2026/plus/1,cb3581752f3910c559c9f42a6cbb09551a6187c6a88b14cfcc35019d0c02bc47,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
55474,244089,1999-05-05,10682386,1376425,2023-07-01,2026-06-30,14,FIRST,CONFIRMED,https://www.transfermarkt.de/fc-st-pauli/kader/verein/35/saison_id/2026/plus/1,cb3581752f3910c559c9f42a6cbb09551a6187c6a88b14cfcc35019d0c02bc47,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
56106,0,2005-05-10,10694991,458759,2026-07-17,2027-06-30,18,FIRST,CONFIRMED,https://www.transfermarkt.de/nelson-ishiwatari/profil/spieler/915026,6c314fc2746112331ef7cf16f8e21e21292d259d2f99becd900ff634de3cae9e,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,10682373,2025-07-01,2026-06-30,-1,0,6433968,,,,,,,,,
61806,248188,1999-09-12,10944515,2490378,2021-07-01,2026-06-30,10,FIRST,CONFIRMED,https://www.transfermarkt.de/cd-nacional/kader/verein/982/saison_id/2026/plus/1,85c1a326ea7d9109ff431c2a95c9c0488100e0183b1e7c799d926c40ecb8dba6,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
70260,0,2009-04-27,1179681,1179681,2026-07-01,2030-06-30,20,RESERVE,CONFIRMED,https://www.transfermarkt.de/le-havre-ac/kader/verein/738/saison_id/2026/plus/1,c689367405332b2d53df382c7e86172b8f1c4f1721cf694d45fd4f70cea2659b,2026-09-12,0,,SQUAD,0,,,0,0,,,,,,,,,,
70291,0,2005-05-06,1179660,1179664,2025-07-09,2030-06-30,31,FIRST,CONFIRMED,https://www.transfermarkt.de/souleymane-sagnan/profil/spieler/1160378,22f80f1622b8b4b68d31004c9e6e9f8f0c52704056f406ba0668cc6aa7c4f118,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,1179664,2025-07-01,2026-06-30,-1,0,5907343,,,,,,,,,
70441,257235,2001-04-09,1179952,1179666,2020-07-01,2027-06-30,77,FIRST,CONFIRMED,https://www.transfermarkt.de/teddy-boulhendi/profil/spieler/789419,7a2baaf368abc87ba7c4ee4099d54552a7c6ed15e23df70f2fe1e804b3295228,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,1179666,2025-07-01,2026-06-30,-1,0,5848209,,,,,,,,,
70804,279632,2006-06-07,1179865,1179681,2024-07-03,2028-06-30,44,FIRST,CONFIRMED,https://www.transfermarkt.de/ismail-bouneb/profil/spieler/986286,940d1596eb825d2875041398e8f4056c11d3cb8ad9baf1eed6a02c18c6b251ee,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,1179681,2025-07-01,2026-06-30,-1,0,,,,,,,,,,
70807,0,2006-01-06,1179865,1179654,2026-07-01,2028-06-30,32,FIRST,CONFIRMED,https://www.transfermarkt.de/rayan-mandengue/profil/spieler/1119338,260b1632fdcf1a6202ecfd78883a79adbe17bb3245454734dcbe9c834d0f378c,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,1179654,2025-07-01,2026-06-30,-1,0,6477220,,,,,,,,,
71780,0,2005-03-09,1179848,1179682,2025-07-01,2029-06-30,14,FIRST,CONFIRMED,https://www.transfermarkt.de/fc-le-mans/kader/verein/1164/saison_id/2026/plus/1,3a1590b4702d0adc2e4906566f51e78d043b0e625e92b825b4e3d1a572fd483c,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
76026,271302,1999-08-16,11927558,2949121,2024-07-01,2029-06-30,25,FIRST,CONFIRMED,https://www.transfermarkt.de/alvaro-djalo/profil/spieler/671649,67917e6a134258e54178c9f3500f8b3cb85515c713403157df5ec7931f24c7c3,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,2949121,2025-07-01,2026-06-30,-1,0,5817203,,,,,,,,,
76268,210315,1994-10-17,11927560,2949171,2022-09-13,2027-06-30,9,FIRST,CONFIRMED,https://www.transfermarkt.de/raul-de-tomas/profil/spieler/162038,edcbd992a89f177da0ec8be6e1147ca9aaaf404121526e5577bc3abcd3c6df21,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,2949171,2025-07-01,2026-06-30,-1,0,5795743,,,,,,,,,
76846,277063,2003-11-02,11993090,458759,2021-07-01,2026-06-30,40,RESERVE,CONFIRMED,https://www.transfermarkt.de/vv-st-truiden/kader/verein/475/saison_id/2026/plus/1,c0e976a963b2c1507ec52e39bab62ae405f89e7c2149e5b8ecc88e56b4f6ff7a,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
77116,242577,1998-07-14,11993105,1179654,2026-01-15,2028-06-30,28,FIRST,CONFIRMED,https://www.transfermarkt.de/romain-faivre/profil/spieler/555076,844188d712c46737a12be0e807bedbb5790276f024b638e43bec6b5e1590f064,2026-09-12,917553,2027-06-30,REPLACE_EXPIRED_LOAN,917553,2025-07-01,2026-06-30,-1,0,,,,,,,,,,
77428,241775,1992-02-29,11997190,3145777,2025-07-01,2026-06-30,5,FIRST,CONFIRMED,https://www.transfermarkt.de/eyupspor/kader/verein/7160/saison_id/2026/plus/1,f4f3375da68b82c3bad1b9efcd11d29ed67584c0d829b173c80cc388820bec9c,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
78065,245694,1995-06-05,12005429,3145836,2025-08-15,2027-06-30,14,FIRST,CONFIRMED,https://www.transfermarkt.de/adama-traore/profil/spieler/364405,498c33576e596d7c43a745c0a24e0c30376a3b230e74375dbf5e015fb2682313,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,3145836,2025-07-01,2026-06-30,2888030,0,5938536,,,,,,,,,
88011,262039,2001-05-07,12779523,1376315,2018-07-01,2026-06-30,17,FIRST,CONFIRMED,https://www.transfermarkt.de/fc-ingolstadt-04/kader/verein/4795/saison_id/2026/plus/1,9602267b250c0007efa439f83a79d1bdd5376932fbafd7a4fc5bf6bcd1c6cbc5,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
88023,274928,2005-04-21,12779523,1769483,2023-07-01,2027-06-30,13,FIRST,CONFIRMED,https://www.transfermarkt.de/us-lecce/kader/verein/1005/saison_id/2026/plus/1,f70b73ab0beef18f4707e1b846172f928bd484c8e6abc3aab35570487739b4bc,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,1769483,2025-07-01,2026-06-30,-1,0,,,,,,,,,,
100005,268504,2005-09-28,1376274,1376433,2026-08-02,2028-06-30,14,FIRST,CONFIRMED,https://www.transfermarkt.de/adam-daghim/profil/spieler/881297,20b2e4958c14bbfeaf8b442daee64d2c89030c277c07ffe9d256723c0e8caad5,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,262150,2025-07-01,2026-06-30,13000000,0,6479875,,,,,,,,,
100029,0,2007-03-23,1376274,1376271,2021-07-01,2026-06-30,38,FIRST,CONFIRMED,https://www.transfermarkt.de/sv-werder-bremen/kader/verein/86/saison_id/2026/plus/1,0a7e36159d0c7ffd555ab7f3ffa226b0cf286e7a1a009e2dca794bd509bbd26e,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
100085,255459,1998-09-08,1376418,1376274,2026-08-18,2029-06-30,17,FIRST,CONFIRMED,https://www.transfermarkt.de/vfl-wolfsburg/kader/verein/82/saison_id/2026/plus/1,0d671e8b1f26fd27a90d4507455627094aa5ed12d9869e4c7dc8c2b2573eb1ef,2026-09-12,0,,SQUAD,0,,,0,0,,,,,,,,,,
100093,263076,2003-07-14,1376418,1376278,2026-07-01,2027-06-30,18,FIRST,CONFIRMED,https://www.transfermarkt.de/robert-wagner/profil/spieler/690429,73e122e6c2d3587b093ec3b4813c4ffb7d650300c2f3ddd537bb650d5ffd32d5,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,1376270,2025-07-01,2026-06-30,0,0,6376800,,,,,,,,,
100209,272891,1999-07-26,1376265,1376283,2026-07-11,2027-06-30,33,FIRST,CONFIRMED,https://www.transfermarkt.de/viktor-bergh/profil/spieler/459022,e20523f6fa4122731e2840053dae6ac2adcfd9df22c330b8bc2721a81bc3066b,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,3014658,2025-07-01,2026-06-30,-1,0,6420005,,,,,,,,,
100214,251482,1999-08-24,1376265,1376280,2023-07-01,2026-06-30,27,FIRST,CONFIRMED,https://www.transfermarkt.de/fc-energie-cottbus/kader/verein/25/saison_id/2026/plus/1,bfac2c82e9908a44ea8264f2a591d43d8ad627ceaeb5639879d980dcab166809,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
100339,0,2004-04-05,1376347,1376420,2023-07-01,2026-06-30,13,FIRST,CONFIRMED,https://www.transfermarkt.de/vfl-osnabruck/kader/verein/81/saison_id/2026/plus/1,e705d735d9e41aeb7a7781affacb5ed1a2f31cc8fd9e319c826182a9e12937a6,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
100374,266435,2003-04-15,1388585,1376285,2024-07-01,2027-06-30,34,FIRST,CONFIRMED,https://www.transfermarkt.de/jannik-zahmel/profil/spieler/810355,01b82d423908c73259baab453a36365de4e355eb33203368b7a6f446bac5f072,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,1376285,2025-07-01,2026-06-30,-1,0,5912735,,,,,,,,,
