row_id,player_tm_id,source_player,dob,native_fm_id,native_fifa_id,native_name,native_club_id,target_club_id,method
FM27-a09bb966e088548a3240cbb6,381753,Ilia Gruev,2000-05-06,23830,248384,Iliya Gruev,917545,917545,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-7d46635af9d53c051d6392e7,406556,Tom McGill,2000-03-25,23589,243588,Thomas McGill,917529,917529,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-55d0dc415421a558f1da8ca8,431190,Carlos Protesoni,1998-03-30,283828,244948,Carlos Benavídez,2949141,2949141,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-8ccb03ed2c8f6904d068f928,433181,Tino Anjorin,2001-11-23,284241,248474,Faustino Anjorin,1769499,3145820,AUTHORITATIVE_LOCAL_FIFA_ID_DOB
FM27-e68ab142225791e9c5413de3,456929,Joseph Ganda,1997-03-10,275772,258545,Josef Ganda,1376315,1376315,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-ab7b623a25cac25c662a1735,467250,Yukhym Konoplya,1999-08-26,205505,263804,Yukhym Konoplia,1376263,1376263,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-d24aac955f1d7f586428c025,477578,Leon Sommer-Deiss,2001-03-10,268482,276430,Leon Sommer,1376539,1376539,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-ed00790ed8927adca2e6c567,528856,Fynn Lakenmacher,2000-05-10,275529,262776,Fynn-Luca Lakenmacher,1376442,1376442,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-22d485b1533283af8550a8da,546186,Georgios Vagiannidis,2001-09-12,286426,255634,Giorgos Vagiannidis,2490382,2490382,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-6958bd7e7e0bdc743b5e204a,551505,Mousa Al-Tamari,1997-06-10,292155,259191,Mousa Tamari,1179656,1179656,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-8655b5e48e5cee5b1dfc4ce7,559328,Emmanuel Emegha,2003-02-03,289593,258437,Emanuel Emegha,917513,917513,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-601a7c7acd9c760b6cb6410c,565118,Jesse Tugbenyo,2001-08-07,271752,259194,Jesse Edem Tugbenyo,1376539,1376539,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-490bc4056a8010dfaf16e1ee,567516,Gabi,2000-04-18,153208,0,Márcio Pereira,2494490,2494469,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-a3c6eef7868b52f5724486f8,572675,Maxi Araújo,2000-02-15,286412,254817,Maximiliano Araújo,2490382,2490382,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-f159246749c3cbb533d053c0,623570,Iliman Ndiaye,2000-03-06,259150,261188,Iliman N'Diaye,917518,917518,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-413d9e7a6c90c08d2c955eec,631404,Gorby,2002-07-25,286885,264418,Jean-Baptiste Gorby,2490374,2490374,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-88e78348dac98ec247b16edd,634430,Israel Salazar,2003-05-10,180149,259424,Israel Salazar,2490386,2490386,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-22d9d9b74881ddab6abc76c1,639414,Young-woo Seol,1998-12-05,270378,254980,Yung-Woo Seol,1376431,1376431,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-82154161bdfcb63a9112e921,639733,Peque Fernández,2002-10-04,281325,270301,Gerard Fernández,2949138,2949138,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-230d12a9726f671e769dc69a,656409,Léo Realpe,2001-02-26,287688,253350,Leonardo Realpe,2490398,2490398,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-a4a7a3227e70a5a21ce66d06,662332,Juan,2002-03-07,200016,73864,Juan Santos da Silva,3145820,3145820,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-699f06535f53dca1703632c1,664708,Equi Fernández,2002-07-25,277062,262151,Ezequiel Fernández,1376261,1376261,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-d92c69e3daf89372b7b29db0,676042,Juanlu Sánchez,2003-08-15,281314,264174,Juan Luis Sánchez Velasco,917553,917553,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-96dab708a88d6c48732dc2e9,696026,Can Moustfa,2004-11-19,273098,73201,Can Yayha Moustfa,1376258,1376258,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-95c21b42e21766b4720dd470,704456,Nosa Edward Obaretin,2003-01-26,290775,73296,Nosa Obaretin,1769495,1179673,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-2b2aa0fdb8b58d279057cdee,724039,Georgios Koutsias,2004-02-08,193692,258834,Giorgos Koutsias,3080210,2490398,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-40219c30887b60ece6f11377,726014,Maksym Dyachuk,2003-07-21,148921,274729,Maksym Diachuk,2424864,786446,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-0942977303c64196f93fbdf0,735354,Alexios Kalogeropoulos,2004-07-26,104501,262109,Alexis Kalogeropoulos,1376258,1376258,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-6ea4edee758becfcc2748115,743591,Sávio,2004-04-10,262604,270409,Sávio Moreira de Oliveira,917518,917514,AUTHORITATIVE_LOCAL_FIFA_ID_DOB
FM27-176ff6bbe7351e059e7d9d60,754037,Abbosbek Fayzullaev,2003-10-03,199935,80304,Abbosbek Fayzullayev,3145841,3145841,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-cb93e1b7db8415b3e965f654,763090,Mukhammadali Urinboev,2005-04-24,235347,79458,Muhammadali O'rinboyev,458785,458785,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-878515e39e6c35d645816020,836441,Gaspar,1997-09-27,287096,275783,Kialonda Gaspar,1769483,1769483,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-7cd88da0d89bc0cfd7f6ae53,865793,Nariman Akhundzada,2004-04-23,203162,72870,Nariman Axundzada,327686,3145765,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-37f5f62c947eceac0a83c013,872171,Lucas Beraldo,2003-11-24,283460,279709,Lucas Lopes Beraldo,1179663,1179663,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-a7eb2b776ddad07717c1175b,952093,Burak Enes Yıkıcı,2004-03-29,202076,0,Burak Yıkıcı,3149837,3145773,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-dc8eaf45bf38632551510ba5,955357,Junior Kroupi,2006-06-23,258550,277909,Eli Junior Kroupi,917553,917553,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-729ba0037708e8ae2436b6ed,1005583,Alysson,2006-05-05,222419,0,Alysson Edward Franco da Rocha,917506,917506,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-0810a84eafa1e4b9cb14a258,1014942,Samuel Althaus,2006-01-10,269703,76596,Samuel Moïse Althaus,1376419,1376419,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-6a3bb8fa3488df57ecad827b,1047424,Jahnilo Wiegel-Triebel,2005-03-13,237699,0,Jahnilo Wiegel,471346,458763,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-c137708e784c73526231a56f,1048442,Bolu Ogungbayi,2004-05-16,295875,0,Boluwatife Ogungbayi,786441,786434,VERIFIED_FULL_NAME_COMPONENTS_DOB
FM27-6772e32e627a533beca72e61,1063475,Mouhamed Tidjane Traore,2003-03-21,11473,0,Tidjane Traoré,790532,790538,VERIFIED_NAME_COMPONENTS_DOB
FM27-b23fa94e32a13fbe31c161ed,1083604,Dani Borges,2003-04-06,153022,0,Daniel Borges da Silva,2490383,2490388,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-f6256f4730fd4699165a12cb,1091608,Fernando,2005-04-12,221998,0,Luis Fernando Santos Oliveira,3538946,2490388,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-fc09ca6d15551cca7ecd08b3,1111684,John Paul Dembe,2005-07-03,188142,276769,John Dembe,3014671,786439,VERIFIED_NAME_COMPONENTS_DOB
FM27-f8c879bb6501a16d01f9076c,1237999,Samuel Obinaya,2005-08-28,296499,0,Samuel Obinaia,786437,786453,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-30eede71297f53576e84dd41,1315482,Muhammed Emin Bektaş,2006-07-01,202958,0,Emin Bektaş,3159909,3145843,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-9ce340dc1c54effa81c98548,1318352,Malcolm Lohunanu-Mbasi,2008-05-11,235965,0,Malcolm Lohunanu-Mbasi,458787,458787,LOCAL_UNIQUE_DOB_NAME_ALIAS
