league,club,club_tm_id,target_club_id,player,player_tm_id,dob,age,position,shirt_number,joined,contract_until,nationality,identity_search,profile_complete,disposition,native_create_ready,reason,source,source_sha256,snapshot_date
BEL1,Royal Charleroi SC,172,458761,Mory Kera,1308524,2008-06-26,18,Defensives Mittelfeld,51,2025-07-01,2027-06-30,Belgien,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,2026-09-12
BEL1,Royal Charleroi SC,172,458761,Naël Piron,1318685,2008-09-28,17,Innenverteidiger,54,2026-07-01,2028-06-30,Belgien,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,2026-09-12
BEL1,VV St. Truiden,475,458759,Yanis Ngoy,1389531,2008-08-24,18,Torwart,30,2026-07-01,2028-06-30,Belgien DR Kongo,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/vv-st-truiden/kader/verein/475/saison_id/2026/plus/1,c0e976a963b2c1507ec52e39bab62ae405f89e7c2149e5b8ecc88e56b4f6ff7a,2026-09-12
CZE1,1.FC Slovacko,5544,786461,Filip Hruska,1339658,2008-08-29,18,Zentrales Mittelfeld,17,2025-09-01,,Tschechien,VERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/1-fc-slovacko/kader/verein/5544/saison_id/2026/plus/1,42dab36a10cfd13d442ece1bb7499f652fac54d38b8eba2248452673a53bcacf,2026-09-12
CZE1,FC Zlin,5545,786445,Moustapha Toure,1523194,2007-10-04,18,Sturm,18,2026-07-01,,Senegal,VERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/fc-zlin/kader/verein/5545/saison_id/2026/plus/1,145632bcb3322adba503e23b5de14e7fcaebb0cc067878f73ac83683b3023bd4,2026-09-12
CZE1,SK Artis Brünn,24325,790564,Ismael Sylla,1544985,2008-02-07,18,Zentrales Mittelfeld,13,2026-07-17,,Elfenbeinküste,VERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/sk-artis-brunn/kader/verein/24325/saison_id/2026/plus/1,587a867b1b6398028de49094330bc2934f1e7245d3ee79f2003e9ffe6410ac9f,2026-09-12
ESP1,UD Levante,3368,2949128,Marc Santos,1476132,2010-11-09,15,Linker Verteidiger,33,2026-07-01,2029-06-30,Spanien,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/ud-levante/kader/verein/3368/saison_id/2026/plus/1,53cacbbeea38cb2a390a7eeec2d36d336b94cb75602793ff1a9bacce28891775,2026-09-12
ESP1,UD Levante,3368,2949128,Nacho Pérez,1371830,2008-08-29,18,Rechter Verteidiger,29,2026-07-01,2028-06-30,Spanien,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/ud-levante/kader/verein/3368/saison_id/2026/plus/1,53cacbbeea38cb2a390a7eeec2d36d336b94cb75602793ff1a9bacce28891775,2026-09-12
FRA1,AJ Auxerre,290,1179654,Xiangxin Wei,1265965,2008-03-05,18,Mittelstürmer,49,2026-07-09,2031-06-30,China,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/aj-auxerre/kader/verein/290/saison_id/2026/plus/1,bc56be6a329e8d45adc245c1a0891dc5af443b78ade6319a110e2ae8c5f635c2,2026-09-12
FRA1,FC Stade Rennes,273,1179656,Elías Legendre Quiñónez,1227106,2008-04-22,18,Rechtsaußen,35,2025-12-03,2029-06-30,Ecuador Frankreich,POSSIBLE_NATIVE_CANDIDATE,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/fc-stade-rennes/kader/verein/273/saison_id/2026/plus/1,00eacc4de7646d87b15affe96598d94d3f9f10626f41f9831e67065e98b85395,2026-09-12
FRA1,RC Lens,826,1179664,Mezian Mesloub,1297674,2009-11-08,16,Offensives Mittelfeld,38,2026-07-01,,Portugal Frankreich,UNVERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/rc-lens/kader/verein/826/saison_id/2026/plus/1,7fb4fc29a59ca1fd1875a851a1378fb40304c090e369d517a86f6d13f80ab3c8,2026-09-12
GER1,1. FSV Mainz 05,39,1376259,Alynho Haidara,1392952,2008-07-26,18,Mittelstürmer,39,2026-07-26,,Elfenbeinküste,UNVERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/1-fsv-mainz-05/kader/verein/39/saison_id/2026/plus/1,a0ac0e0c9eb47a3776e4e43c8257aa032114b35240aadb843dc1c757a5313de7,2026-09-12
GER1,Borussia Dortmund,16,1376262,Enzo dos Santos,1311594,2009-01-28,17,Zentrales Mittelfeld,44,2026-08-19,2029-06-30,Luxemburg Kap Verde,UNVERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/borussia-dortmund/kader/verein/16/saison_id/2026/plus/1,927453550675aa19e2e1770ec753efb040ae08d849fa3f9549ef9d993044efb7,2026-09-12
GER1,SV Werder Bremen,86,1376271,Paul Erevbenagie,1080555,2007-08-19,19,Rechtsaußen,38,2026-07-04,,Deutschland,UNVERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/sv-werder-bremen/kader/verein/86/saison_id/2026/plus/1,0a7e36159d0c7ffd555ab7f3ffa226b0cf286e7a1a009e2dca794bd509bbd26e,2026-09-12
GER2,FC Energie Cottbus,25,1376280,Malte Wilke,1157068,2007-06-25,19,Torwart,40,2026-07-01,,Deutschland,UNVERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/fc-energie-cottbus/kader/verein/25/saison_id/2026/plus/1,bfac2c82e9908a44ea8264f2a591d43d8ad627ceaeb5639879d980dcab166809,2026-09-12
GER2,Hannover 96,42,1376268,Joschua Siewert,1307411,2009-05-24,17,Innenverteidiger,35,2026-07-01,2029-06-30,Deutschland,UNVERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/hannover-96/kader/verein/42/saison_id/2026/plus/1,1215cddc874fab7e50402cb82ad6c5ca92f8ced09d37a9d8569043058176a32f,2026-09-12
GER3,SC Verl,93,1376406,Emmanuel Bamba,1412872,2007-10-29,18,Linker Verteidiger,29,2026-07-01,2028-06-30,Deutschland,UNVERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/sc-verl/kader/verein/93/saison_id/2026/plus/1,bd69b9b6c3fd17e062c0bf50a17563b42a98d2c42534eeab1330ee7efa38071a,2026-09-12
ITA1,AC Florenz,430,1769492,Federico Croci,1350478,2010-07-01,16,Linksaußen,70,2026-07-01,2029-06-30,Italien,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/ac-florenz/kader/verein/430/saison_id/2026/plus/1,5857be8fdb4f3fc0db1b4cdc9b4c664d3e7e976dd4b535b833de0fc4b70e26fc,2026-09-12
ITA1,Venezia FC,607,1769500,Ale Gomes,1371198,2008-02-14,18,Innenverteidiger,95,2026-07-09,2031-06-30,,UNVERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/venezia-fc/kader/verein/607/saison_id/2026/plus/1,d88fc7110893de0f0661e79b4c48d86142d14d93f73bc112159c1995caefb0e9,2026-09-12
NED1,Fortuna Sittard,385,2228247,Gani Büyükhan,1491843,2009-10-07,16,Offensives Mittelfeld,39,2026-07-01,,Belgien Türkei,VERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/fortuna-sittard/kader/verein/385/saison_id/2026/plus/1,3459b44bdebecde47d2a1440be82d9c09e8f120a342ec34fc969ad1288f64fcd,2026-09-12
NED1,NEC Nijmegen,467,2228235,Dele Thomas,763948,2007-07-23,19,Linksaußen,77,2026-09-01,2030-06-30,,UNVERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/nec-nijmegen/kader/verein/467/saison_id/2026/plus/1,afaf186de0e68283482d701cbcab4af6ebdee0f811b6b205c1c3767c120d442d,2026-09-12
NED1,PEC Zwolle,1269,2228260,Gilles van der Wal,1146470,2008-06-24,18,Offensives Mittelfeld,37,2026-07-01,,Niederlande,POSSIBLE_NATIVE_CANDIDATE,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/pec-zwolle/kader/verein/1269/saison_id/2026/plus/1,3c97a5a53b9cc8a25985b1e3597862074bc3460631aa78e06a0c54cb3648771b,2026-09-12
NED1,SC Heerenveen,306,2228234,Kirayno Schaken,1275103,2008-08-08,18,Rechtsaußen,47,2026-07-01,2030-06-30,Niederlande Suriname,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/sc-heerenveen/kader/verein/306/saison_id/2026/plus/1,c5575ac3b7544ec0b6c6c259e7a480f6feb44060499802d16479d9d38d1f4bf6,2026-09-12
POR1,CD Nacional,982,2490378,Matias Silva,1582195,2008-11-21,17,Linker Verteidiger,55,2025-07-01,2027-06-30,Portugal,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/cd-nacional/kader/verein/982/saison_id/2026/plus/1,85c1a326ea7d9109ff431c2a95c9c0488100e0183b1e7c799d926c40ecb8dba6,2026-09-12
POR1,FC Alverca,2521,2490393,Samy Jr. Merheg,1218658,2006-12-06,19,Mittelstürmer,17,2026-07-18,2029-06-30,,UNVERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/fc-alverca/kader/verein/2521/saison_id/2026/plus/1,7f5d01cde12ec5554a0cdae5ccc699031abd54d7e473e99ebf2c44e9a519b8ae,2026-09-12
POR1,GD Estoril Praia,1465,2490386,Sam Amissah,1026524,2007-03-07,19,Innenverteidiger,35,2026-08-30,2027-05-31,,UNVERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/gd-estoril-praia/kader/verein/1465/saison_id/2026/plus/1,1f4451857a09faf4bc5a12d1790c126a29e1c7346930e118c1c73d3f15c8f2d8,2026-09-12
POR1,Gil Vicente FC,2424,2490375,Tiago Ferreira,1268194,2009-01-12,17,Torwart,44,2026-07-01,2028-06-30,Portugal,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/gil-vicente-fc/kader/verein/2424/saison_id/2026/plus/1,e615ed113cbf0012df4490859c154266a50a72247c7f67c260f2f4ab6c49e4d1,2026-09-12
POR1,SC Braga,1075,2490374,Tommy Marqués,938156,2006-10-30,19,Defensives Mittelfeld,16,2026-08-21,2031-06-30,,UNVERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/sc-braga/kader/verein/1075/saison_id/2026/plus/1,a179610f71e6ea7b41b62a1d2448a6aa9ceac20ea3d9356ad08e919d3506e2a7,2026-09-12
POR1,Vitória Guimarães SC,2420,2490397,Santi Verdi,1093061,2008-05-05,18,Zentrales Mittelfeld,56,2026-07-01,2031-06-30,Portugal,UNVERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/vitoria-guimaraes-sc/kader/verein/2420/saison_id/2026/plus/1,d099b13b522be7fac0425b4aea5d56eb91b99f04255377a276820a33f184d54a,2026-09-12
TUR1,Amed SK,12382,3145856,Muhammed Damar,1583411,2008-02-26,18,Torwart,95,2026-07-01,,Türkei,VERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/amed-sk/kader/verein/12382/saison_id/2026/plus/1,1c63291a94e83ca8d551f2c91a8979d5cadd6cad24fc5cbcdc3500f54ff03b8e,2026-09-12
TUR1,Basaksehir FK,6890,3145841,Ege Öztürk,1245279,2007-12-04,18,Torwart,80,2026-07-01,,Türkei,VERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/basaksehir-fk/kader/verein/6890/saison_id/2026/plus/1,ce3135bc2b2b9daa2d2bea05e7e218c5933214f172404552d071997b77f3b230,2026-09-12
TUR1,Besiktas JK,114,3145824,Ahmet Sami Bircan,1076666,2007-01-24,19,Mittelstürmer,70,2026-07-01,2028-06-30,Türkei,UNVERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/besiktas-jk/kader/verein/114/saison_id/2026/plus/1,f46df64dc3feb409a79ae254926c9517fdba2f5e40a9e4ebf8000fc6f191e791,2026-09-12
TUR1,Caykur Rizespor,126,3145837,Hasan Yağız Döne,1581401,2010-09-17,15,Torwart,31,2026-07-01,,Türkei,VERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/caykur-rizespor/kader/verein/126/saison_id/2026/plus/1,61fa6e9a84b4e36b36da70c3e8971eaf7870792667b136d236163fc072296fda,2026-09-12
TUR1,Caykur Rizespor,126,3145837,Mustafa Coşkun Tosun,1474364,2009-01-06,17,Mittelstürmer,80,2026-07-01,2029-06-30,Türkei,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/caykur-rizespor/kader/verein/126/saison_id/2026/plus/1,61fa6e9a84b4e36b36da70c3e8971eaf7870792667b136d236163fc072296fda,2026-09-12
TUR1,Corum FK,37951,3149867,Furkan Çetinkaya,1476544,2009-03-03,17,Offensives Mittelfeld,45,2025-12-03,2028-06-30,Türkei,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/corum-fk/kader/verein/37951/saison_id/2026/plus/1,09798c50638e371505f186cb7a6cb29472c2df6e777856de0739225fb6d74803,2026-09-12
TUR1,Corum FK,37951,3149867,Hasanege Akdoğan,1197994,2008-03-08,18,Mittelstürmer,23,2024-07-04,2027-06-30,Türkei,UNVERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/corum-fk/kader/verein/37951/saison_id/2026/plus/1,09798c50638e371505f186cb7a6cb29472c2df6e777856de0739225fb6d74803,2026-09-12
TUR1,Erzurumspor FK,39722,3145765,Ömer Arda Kara,1296109,2007-10-31,18,Innenverteidiger,25,2024-07-01,2027-06-30,Türkei,UNVERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/erzurumspor-fk/kader/verein/39722/saison_id/2026/plus/1,aaa2316b00aefef231faf95d7f3e3871f7c712aaa423cb88c256177acd6d2902,2026-09-12
TUR1,Galatasaray,141,3145825,Ada Yüzgeç,1223334,2009-04-03,17,Mittelstürmer,62,2026-07-01,2029-06-30,Türkei,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/galatasaray/kader/verein/141/saison_id/2026/plus/1,66f1195fdd6d32bc947bb726ca4925adf5e39b928cebbb291569108f880a8f16,2026-09-12
TUR1,Gaziantep FK,2832,3145773,Ali Osman Kalın,1261143,2008-03-23,18,Linksaußen,46,2025-07-01,2027-06-30,Türkei,POSSIBLE_NATIVE_CANDIDATE,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/gaziantep-fk/kader/verein/2832/saison_id/2026/plus/1,81446f340c520f2c5aff4253c251edc727d259530fe5221a6b24ee6cfb9e01e1,2026-09-12
TUR1,Gaziantep FK,2832,3145773,Muhammet Akmelek,1474871,2009-06-06,17,Mittelstürmer,-,2026-01-01,2028-06-30,Türkei,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/gaziantep-fk/kader/verein/2832/saison_id/2026/plus/1,81446f340c520f2c5aff4253c251edc727d259530fe5221a6b24ee6cfb9e01e1,2026-09-12
TUR1,Genclerbirligi Ankara,820,3145836,Ayaz Özcan,1437503,2009-10-01,16,Mittelstürmer,99,2025-07-01,2028-06-30,Türkei,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/genclerbirligi-ankara/kader/verein/820/saison_id/2026/plus/1,9fb824ef54d8cf6c84b7b150acc7ac82c0b5fa7fc8222f7f3c24c366e83db062,2026-09-12
TUR1,Genclerbirligi Ankara,820,3145836,Berk Deniz Çukurcu,1189059,2008-01-02,18,Torwart,61,2025-07-01,2027-06-30,Türkei,UNVERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/genclerbirligi-ankara/kader/verein/820/saison_id/2026/plus/1,9fb824ef54d8cf6c84b7b150acc7ac82c0b5fa7fc8222f7f3c24c366e83db062,2026-09-12
TUR1,Genclerbirligi Ankara,820,3145836,Erk Aslan,1438144,2008-11-07,17,Linksaußen,17,2026-07-01,,Türkei,VERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/genclerbirligi-ankara/kader/verein/820/saison_id/2026/plus/1,9fb824ef54d8cf6c84b7b150acc7ac82c0b5fa7fc8222f7f3c24c366e83db062,2026-09-12
TUR1,Genclerbirligi Ankara,820,3145836,Hamza Aydar,1417530,2008-09-20,17,Linker Verteidiger,3,2025-07-01,2028-06-30,Türkei,POSSIBLE_NATIVE_CANDIDATE,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/genclerbirligi-ankara/kader/verein/820/saison_id/2026/plus/1,9fb824ef54d8cf6c84b7b150acc7ac82c0b5fa7fc8222f7f3c24c366e83db062,2026-09-12
TUR1,Genclerbirligi Ankara,820,3145836,Prince Martor Jr.,1442800,2007-07-09,19,Linksaußen,45,2026-07-01,2028-06-30,Liberia,UNVERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/genclerbirligi-ankara/kader/verein/820/saison_id/2026/plus/1,9fb824ef54d8cf6c84b7b150acc7ac82c0b5fa7fc8222f7f3c24c366e83db062,2026-09-12
